Training FedAvg...
Round [1/200]	 Train Loss [4.5746]	 Train Acc [5.14]	 Train Time [16.16]
Round [2/200]	 Train Loss [4.5598]	 Train Acc [5.49]	 Train Time [17.37]
Round [3/200]	 Train Loss [4.4894]	 Train Acc [5.12]	 Train Time [12.33]
Round [4/200]	 Train Loss [4.2059]	 Train Acc [6.53]	 Train Time [17.40]
Round [5/200]	 Train Loss [4.0622]	 Train Acc [7.35]	 Train Time [12.84]
Round [6/200]	 Train Loss [4.0497]	 Train Acc [6.89]	 Train Time [15.53]
Round [7/200]	 Train Loss [3.9402]	 Train Acc [8.83]	 Train Time [15.87]
Round [8/200]	 Train Loss [3.8517]	 Train Acc [9.92]	 Train Time [14.81]
Round [9/200]	 Train Loss [3.7883]	 Train Acc [11.04]	 Train Time [15.88]
Round [10/200]	 Train Loss [3.7003]	 Train Acc [11.80]	 Train Time [16.39]
Round [11/200]	 Train Loss [3.6037]	 Train Acc [13.49]	 Train Time [17.25]
Round [12/200]	 Train Loss [3.4638]	 Train Acc [16.84]	 Train Time [9.12]
Round [13/200]	 Train Loss [3.3953]	 Train Acc [16.76]	 Train Time [18.45]
Round [14/200]	 Train Loss [3.3433]	 Train Acc [17.75]	 Train Time [15.43]
Round [15/200]	 Train Loss [3.2929]	 Train Acc [18.29]	 Train Time [16.61]
Round [16/200]	 Train Loss [3.2146]	 Train Acc [20.15]	 Train Time [17.35]
Round [17/200]	 Train Loss [3.2394]	 Train Acc [19.48]	 Train Time [16.29]
Round [18/200]	 Train Loss [3.1812]	 Train Acc [20.26]	 Train Time [12.84]
Round [19/200]	 Train Loss [3.1495]	 Train Acc [21.19]	 Train Time [12.14]
Round [20/200]	 Train Loss [3.0447]	 Train Acc [22.93]	 Test Loss [4.0177|3.7048]	 Test Acc [9.09(3.10)|17.24(3.94)]	 Train Time [11.77]
Round [21/200]	 Train Loss [3.0463]	 Train Acc [23.14]	 Train Time [15.46]
Round [22/200]	 Train Loss [2.9534]	 Train Acc [24.83]	 Train Time [21.55]
Round [23/200]	 Train Loss [2.9419]	 Train Acc [25.00]	 Train Time [13.95]
Round [24/200]	 Train Loss [2.9049]	 Train Acc [25.93]	 Train Time [17.60]
Round [25/200]	 Train Loss [2.8505]	 Train Acc [27.23]	 Train Time [16.59]
Round [26/200]	 Train Loss [2.7940]	 Train Acc [28.22]	 Train Time [16.04]
Round [27/200]	 Train Loss [2.7154]	 Train Acc [30.32]	 Train Time [18.14]
Round [28/200]	 Train Loss [2.6299]	 Train Acc [32.01]	 Train Time [17.93]
Round [29/200]	 Train Loss [2.6733]	 Train Acc [31.15]	 Train Time [13.98]
Round [30/200]	 Train Loss [2.5284]	 Train Acc [34.25]	 Train Time [17.92]
Round [31/200]	 Train Loss [2.4872]	 Train Acc [34.95]	 Train Time [22.05]
Round [32/200]	 Train Loss [2.3758]	 Train Acc [37.59]	 Train Time [14.64]
Round [33/200]	 Train Loss [2.4106]	 Train Acc [37.00]	 Train Time [17.06]
Round [34/200]	 Train Loss [2.3262]	 Train Acc [39.03]	 Train Time [12.42]
Round [35/200]	 Train Loss [2.2754]	 Train Acc [40.43]	 Train Time [14.28]
Round [36/200]	 Train Loss [2.2217]	 Train Acc [41.65]	 Train Time [10.75]
Round [37/200]	 Train Loss [2.1734]	 Train Acc [43.46]	 Train Time [13.70]
Round [38/200]	 Train Loss [2.1547]	 Train Acc [43.93]	 Train Time [15.54]
Round [39/200]	 Train Loss [2.1077]	 Train Acc [45.09]	 Train Time [15.42]
Round [40/200]	 Train Loss [2.0749]	 Train Acc [45.81]	 Test Loss [3.7405|4.4576]	 Test Acc [15.63(4.09)|19.96(3.94)]	 Train Time [15.07]
Round [41/200]	 Train Loss [1.9358]	 Train Acc [49.41]	 Train Time [14.12]
Round [42/200]	 Train Loss [1.9832]	 Train Acc [48.26]	 Train Time [16.26]
Round [43/200]	 Train Loss [1.8820]	 Train Acc [50.95]	 Train Time [13.37]
Round [44/200]	 Train Loss [1.8457]	 Train Acc [51.82]	 Train Time [12.94]
Round [45/200]	 Train Loss [1.8491]	 Train Acc [52.03]	 Train Time [14.25]
Round [46/200]	 Train Loss [1.8484]	 Train Acc [52.52]	 Train Time [17.45]
Round [47/200]	 Train Loss [1.6646]	 Train Acc [56.55]	 Train Time [16.64]
Round [48/200]	 Train Loss [1.6923]	 Train Acc [56.13]	 Train Time [20.50]
Round [49/200]	 Train Loss [1.5720]	 Train Acc [59.14]	 Train Time [16.33]
Round [50/200]	 Train Loss [1.5643]	 Train Acc [59.59]	 Train Time [10.32]
Round [51/200]	 Train Loss [1.6432]	 Train Acc [58.14]	 Train Time [14.06]
Round [52/200]	 Train Loss [1.4959]	 Train Acc [61.46]	 Train Time [18.01]
Round [53/200]	 Train Loss [1.4782]	 Train Acc [62.12]	 Train Time [19.14]
Round [54/200]	 Train Loss [1.5043]	 Train Acc [61.22]	 Train Time [22.12]
Round [55/200]	 Train Loss [1.4556]	 Train Acc [62.56]	 Train Time [18.56]
Round [56/200]	 Train Loss [1.5101]	 Train Acc [61.25]	 Train Time [15.59]
Round [57/200]	 Train Loss [1.4746]	 Train Acc [62.16]	 Train Time [14.16]
Round [58/200]	 Train Loss [1.4468]	 Train Acc [63.05]	 Train Time [12.56]
Round [59/200]	 Train Loss [1.2843]	 Train Acc [67.07]	 Train Time [14.95]
Round [60/200]	 Train Loss [1.3388]	 Train Acc [65.84]	 Test Loss [3.9023|5.0572]	 Test Acc [17.73(4.19)|21.57(4.26)]	 Train Time [9.83]
Round [61/200]	 Train Loss [1.2544]	 Train Acc [68.28]	 Train Time [12.74]
Round [62/200]	 Train Loss [1.3040]	 Train Acc [66.82]	 Train Time [17.84]
Round [63/200]	 Train Loss [1.4194]	 Train Acc [64.00]	 Train Time [15.71]
Round [64/200]	 Train Loss [1.2866]	 Train Acc [67.43]	 Train Time [20.05]
Round [65/200]	 Train Loss [1.2406]	 Train Acc [68.44]	 Train Time [12.85]
Round [66/200]	 Train Loss [1.2034]	 Train Acc [69.65]	 Train Time [12.09]
Round [67/200]	 Train Loss [1.1992]	 Train Acc [69.35]	 Train Time [10.92]
Round [68/200]	 Train Loss [1.1244]	 Train Acc [71.45]	 Train Time [14.32]
Round [69/200]	 Train Loss [1.2494]	 Train Acc [68.42]	 Train Time [18.51]
Round [70/200]	 Train Loss [1.1477]	 Train Acc [70.78]	 Train Time [19.82]
Round [71/200]	 Train Loss [1.1077]	 Train Acc [72.25]	 Train Time [14.93]
Round [72/200]	 Train Loss [1.1546]	 Train Acc [70.88]	 Train Time [16.81]
Round [73/200]	 Train Loss [1.1397]	 Train Acc [70.66]	 Train Time [13.70]
Round [74/200]	 Train Loss [1.0283]	 Train Acc [73.75]	 Train Time [16.65]
Round [75/200]	 Train Loss [1.0989]	 Train Acc [72.20]	 Train Time [14.16]
Round [76/200]	 Train Loss [1.0648]	 Train Acc [72.44]	 Train Time [14.07]
Round [77/200]	 Train Loss [1.0680]	 Train Acc [73.05]	 Train Time [13.60]
Round [78/200]	 Train Loss [1.0431]	 Train Acc [73.76]	 Train Time [17.82]
Round [79/200]	 Train Loss [1.1146]	 Train Acc [71.46]	 Train Time [21.30]
Round [80/200]	 Train Loss [1.0504]	 Train Acc [73.55]	 Test Loss [3.8317|5.2594]	 Test Acc [19.19(4.38)|22.23(3.96)]	 Train Time [14.60]
Round [81/200]	 Train Loss [1.0074]	 Train Acc [74.39]	 Train Time [15.40]
Round [82/200]	 Train Loss [0.9709]	 Train Acc [75.07]	 Train Time [14.67]
Round [83/200]	 Train Loss [1.1141]	 Train Acc [71.63]	 Train Time [17.88]
Round [84/200]	 Train Loss [0.9731]	 Train Acc [75.15]	 Train Time [14.32]
Round [85/200]	 Train Loss [0.9886]	 Train Acc [74.68]	 Train Time [17.29]
Round [86/200]	 Train Loss [1.0848]	 Train Acc [72.44]	 Train Time [10.69]
Round [87/200]	 Train Loss [1.1200]	 Train Acc [71.90]	 Train Time [16.70]
Round [88/200]	 Train Loss [1.0075]	 Train Acc [73.98]	 Train Time [23.71]
Round [89/200]	 Train Loss [0.9901]	 Train Acc [74.89]	 Train Time [12.94]
Round [90/200]	 Train Loss [0.9493]	 Train Acc [75.69]	 Train Time [14.08]
Round [91/200]	 Train Loss [0.8722]	 Train Acc [77.72]	 Train Time [15.89]
Round [92/200]	 Train Loss [0.9671]	 Train Acc [75.19]	 Train Time [18.36]
Round [93/200]	 Train Loss [0.8257]	 Train Acc [78.62]	 Train Time [13.72]
Round [94/200]	 Train Loss [1.0171]	 Train Acc [73.99]	 Train Time [17.66]
Round [95/200]	 Train Loss [0.9789]	 Train Acc [75.06]	 Train Time [13.73]
Round [96/200]	 Train Loss [0.9066]	 Train Acc [76.67]	 Train Time [15.93]
Round [97/200]	 Train Loss [0.8674]	 Train Acc [77.91]	 Train Time [13.22]
Round [98/200]	 Train Loss [1.0121]	 Train Acc [73.99]	 Train Time [13.10]
Round [99/200]	 Train Loss [0.8941]	 Train Acc [76.86]	 Train Time [13.34]
Round [100/200]	 Train Loss [0.8717]	 Train Acc [77.82]	 Test Loss [3.9695|5.3944]	 Test Acc [19.49(4.66)|22.91(4.13)]	 Train Time [11.49]
Round [101/200]	 Train Loss [0.8809]	 Train Acc [77.65]	 Train Time [15.17]
Round [102/200]	 Train Loss [0.8051]	 Train Acc [79.28]	 Train Time [15.80]
Round [103/200]	 Train Loss [0.8731]	 Train Acc [77.77]	 Train Time [15.80]
Round [104/200]	 Train Loss [1.0050]	 Train Acc [74.06]	 Train Time [13.46]
Round [105/200]	 Train Loss [0.8923]	 Train Acc [77.42]	 Train Time [13.97]
Round [106/200]	 Train Loss [0.8425]	 Train Acc [78.42]	 Train Time [14.52]
Round [107/200]	 Train Loss [0.8409]	 Train Acc [78.42]	 Train Time [14.05]
Round [108/200]	 Train Loss [0.8636]	 Train Acc [77.78]	 Train Time [18.80]
Round [109/200]	 Train Loss [0.7748]	 Train Acc [80.01]	 Train Time [15.18]
Round [110/200]	 Train Loss [0.8101]	 Train Acc [78.94]	 Train Time [19.58]
Round [111/200]	 Train Loss [0.8513]	 Train Acc [78.32]	 Train Time [18.56]
Round [112/200]	 Train Loss [0.7132]	 Train Acc [81.31]	 Train Time [13.93]
Round [113/200]	 Train Loss [0.8251]	 Train Acc [78.57]	 Train Time [18.82]
Round [114/200]	 Train Loss [0.8440]	 Train Acc [78.25]	 Train Time [14.34]
Round [115/200]	 Train Loss [0.7726]	 Train Acc [80.19]	 Train Time [15.95]
Round [116/200]	 Train Loss [0.6812]	 Train Acc [82.38]	 Train Time [12.46]
