Training FedPac...
Round [1/200]	Train Loss (CE|Proto) [4.0520|0.0014]	Train Acc (Rep) [21.29]	Time [120.86s]
Round [2/200]	Train Loss (CE|Proto) [3.5276|0.0350]	Train Acc (Rep) [21.76]	Time [64.23s]
Round [3/200]	Train Loss (CE|Proto) [2.9400|0.0161]	Train Acc (Rep) [22.62]	Time [34.62s]
Round [4/200]	Train Loss (CE|Proto) [3.2265|0.0111]	Train Acc (Rep) [19.75]	Time [103.61s]
Round [5/200]	Train Loss (CE|Proto) [3.1389|0.0094]	Train Acc (Rep) [21.44]	Time [89.32s]
Round [6/200]	Train Loss (CE|Proto) [3.1893|0.0112]	Train Acc (Rep) [20.72]	Time [43.96s]
Round [7/200]	Train Loss (CE|Proto) [3.1741|0.0088]	Train Acc (Rep) [20.48]	Time [89.64s]
Round [8/200]	Train Loss (CE|Proto) [3.1088|0.0096]	Train Acc (Rep) [19.26]	Time [49.27s]
Round [9/200]	Train Loss (CE|Proto) [3.1637|0.0100]	Train Acc (Rep) [20.20]	Time [121.05s]
Round [10/200]	Train Loss (CE|Proto) [3.1102|0.0122]	Train Acc (Rep) [20.50]	Time [139.39s]
Round [11/200]	Train Loss (CE|Proto) [3.2043|0.0074]	Train Acc (Rep) [20.70]	Time [136.58s]
Round [12/200]	Train Loss (CE|Proto) [3.1674|0.0074]	Train Acc (Rep) [20.39]	Time [104.07s]
Round [13/200]	Train Loss (CE|Proto) [3.1099|0.0075]	Train Acc (Rep) [22.48]	Time [45.61s]
Round [14/200]	Train Loss (CE|Proto) [3.1438|0.0125]	Train Acc (Rep) [21.64]	Time [97.47s]
Round [15/200]	Train Loss (CE|Proto) [2.9889|0.0106]	Train Acc (Rep) [22.91]	Time [97.94s]
Round [16/200]	Train Loss (CE|Proto) [3.1424|0.0106]	Train Acc (Rep) [21.71]	Time [104.65s]
Round [17/200]	Train Loss (CE|Proto) [3.1042|0.0095]	Train Acc (Rep) [19.85]	Time [64.63s]
Round [18/200]	Train Loss (CE|Proto) [3.1035|0.0095]	Train Acc (Rep) [23.54]	Time [48.16s]
Round [19/200]	Train Loss (CE|Proto) [2.9842|0.0141]	Train Acc (Rep) [26.22]	Time [65.82s]
Round [20/200]	Train Loss (CE|Proto) [3.0203|0.0189]	Train Acc (Rep) [25.14]	Test Loss (Global|Pers) [4.6027|3.1409]	Test Acc (Global|Pers) [1.97(4.30)|21.03(10.99)]	Time [88.72s]
Round [21/200]	Train Loss (CE|Proto) [2.9494|0.0224]	Train Acc (Rep) [24.55]	Time [139.76s]
Round [22/200]	Train Loss (CE|Proto) [2.9420|0.0204]	Train Acc (Rep) [26.23]	Time [82.80s]
