Training FedPac...
Round [54/200]	Train Loss (CE|Proto) [1.1919|0.0176]	Train Acc (Rep) [59.19]	Time [24.79s]
Round [55/200]	Train Loss (CE|Proto) [1.2080|0.0168]	Train Acc (Rep) [58.59]	Time [43.58s]
Round [56/200]	Train Loss (CE|Proto) [1.1974|0.0163]	Train Acc (Rep) [59.19]	Time [30.89s]
Round [57/200]	Train Loss (CE|Proto) [1.2342|0.0171]	Train Acc (Rep) [57.83]	Time [19.86s]
Round [58/200]	Train Loss (CE|Proto) [1.2445|0.0167]	Train Acc (Rep) [57.65]	Time [18.60s]
Round [59/200]	Train Loss (CE|Proto) [1.2360|0.0174]	Train Acc (Rep) [59.07]	Time [19.46s]
Round [60/200]	Train Loss (CE|Proto) [1.1523|0.0178]	Train Acc (Rep) [60.29]	Test Loss (Global|Pers) [2.1119|1.2268]	Test Acc (Global|Pers) [29.60(14.50)|57.69(14.85)]	Time [32.17s]
Round [61/200]	Train Loss (CE|Proto) [1.2244|0.0170]	Train Acc (Rep) [57.64]	Time [37.33s]
Round [62/200]	Train Loss (CE|Proto) [1.0751|0.0178]	Train Acc (Rep) [64.13]	Time [34.44s]
Round [63/200]	Train Loss (CE|Proto) [1.2015|0.0166]	Train Acc (Rep) [59.70]	Time [34.97s]
Round [64/200]	Train Loss (CE|Proto) [1.1286|0.0184]	Train Acc (Rep) [62.08]	Time [31.99s]
Round [65/200]	Train Loss (CE|Proto) [1.1896|0.0190]	Train Acc (Rep) [59.33]	Time [33.00s]
Round [66/200]	Train Loss (CE|Proto) [1.2151|0.0183]	Train Acc (Rep) [59.45]	Time [24.81s]
Round [67/200]	Train Loss (CE|Proto) [1.2021|0.0178]	Train Acc (Rep) [58.75]	Time [25.21s]
Round [68/200]	Train Loss (CE|Proto) [1.0798|0.0186]	Train Acc (Rep) [61.71]	Time [23.69s]
Round [69/200]	Train Loss (CE|Proto) [1.1525|0.0186]	Train Acc (Rep) [60.59]	Time [29.86s]
Round [70/200]	Train Loss (CE|Proto) [1.1472|0.0192]	Train Acc (Rep) [61.86]	Time [31.98s]
Round [71/200]	Train Loss (CE|Proto) [1.2292|0.0194]	Train Acc (Rep) [58.96]	Time [23.64s]
Round [72/200]	Train Loss (CE|Proto) [1.1445|0.0194]	Train Acc (Rep) [61.74]	Time [29.98s]
Round [73/200]	Train Loss (CE|Proto) [1.0854|0.0212]	Train Acc (Rep) [62.68]	Time [24.53s]
Round [74/200]	Train Loss (CE|Proto) [1.1116|0.0201]	Train Acc (Rep) [63.28]	Time [17.62s]
Round [75/200]	Train Loss (CE|Proto) [1.2268|0.0192]	Train Acc (Rep) [59.05]	Time [28.30s]
Round [76/200]	Train Loss (CE|Proto) [1.1729|0.0197]	Train Acc (Rep) [60.43]	Time [24.69s]
Round [77/200]	Train Loss (CE|Proto) [1.0579|0.0219]	Train Acc (Rep) [65.48]	Time [11.88s]
Round [78/200]	Train Loss (CE|Proto) [1.1746|0.0216]	Train Acc (Rep) [59.56]	Time [24.13s]
Round [79/200]	Train Loss (CE|Proto) [1.1643|0.0211]	Train Acc (Rep) [61.03]	Time [29.11s]
Round [80/200]	Train Loss (CE|Proto) [1.1908|0.0212]	Train Acc (Rep) [58.73]	Test Loss (Global|Pers) [2.0613|1.1778]	Test Acc (Global|Pers) [31.86(14.97)|59.82(14.82)]	Time [32.52s]
Round [81/200]	Train Loss (CE|Proto) [1.0718|0.0219]	Train Acc (Rep) [62.99]	Time [24.73s]
Round [82/200]	Train Loss (CE|Proto) [1.1800|0.0217]	Train Acc (Rep) [60.17]	Time [25.47s]
Round [83/200]	Train Loss (CE|Proto) [1.1113|0.0216]	Train Acc (Rep) [62.43]	Time [30.81s]
Round [84/200]	Train Loss (CE|Proto) [1.2000|0.0214]	Train Acc (Rep) [59.79]	Time [24.70s]
Round [85/200]	Train Loss (CE|Proto) [1.0987|0.0217]	Train Acc (Rep) [62.77]	Time [32.49s]
Round [86/200]	Train Loss (CE|Proto) [1.1889|0.0212]	Train Acc (Rep) [59.40]	Time [32.83s]
Round [87/200]	Train Loss (CE|Proto) [1.1049|0.0205]	Train Acc (Rep) [62.82]	Time [22.87s]
Round [88/200]	Train Loss (CE|Proto) [1.1464|0.0217]	Train Acc (Rep) [61.33]	Time [41.79s]
