Training pFedFDA...
Round [1/200]	 Train Loss [1.6731]	 Train Acc [40.77]	 Train Time [8.20]
Round [2/200]	 Train Loss [1.7683]	 Train Acc [40.87]	 Train Time [8.07]
Round [3/200]	 Train Loss [1.4297]	 Train Acc [46.66]	 Train Time [6.90]
Round [4/200]	 Train Loss [1.4786]	 Train Acc [42.84]	 Train Time [13.75]
Round [5/200]	 Train Loss [1.4585]	 Train Acc [45.93]	 Train Time [10.38]
Round [6/200]	 Train Loss [1.3059]	 Train Acc [50.19]	 Train Time [8.19]
Round [7/200]	 Train Loss [1.3642]	 Train Acc [48.69]	 Train Time [13.17]
Round [8/200]	 Train Loss [1.2725]	 Train Acc [51.09]	 Train Time [12.16]
Round [9/200]	 Train Loss [1.3377]	 Train Acc [51.14]	 Train Time [11.95]
Round [10/200]	 Train Loss [1.1669]	 Train Acc [55.84]	 Train Time [13.49]
Round [11/200]	 Train Loss [1.2622]	 Train Acc [53.30]	 Train Time [7.72]
Round [12/200]	 Train Loss [1.1729]	 Train Acc [55.83]	 Train Time [16.83]
Round [13/200]	 Train Loss [1.2636]	 Train Acc [53.23]	 Train Time [10.64]
Round [14/200]	 Train Loss [1.1797]	 Train Acc [55.09]	 Train Time [11.75]
Round [15/200]	 Train Loss [1.1668]	 Train Acc [56.73]	 Train Time [11.88]
Round [16/200]	 Train Loss [1.1729]	 Train Acc [55.62]	 Train Time [12.81]
Round [17/200]	 Train Loss [1.0344]	 Train Acc [60.15]	 Train Time [9.25]
Round [18/200]	 Train Loss [1.1519]	 Train Acc [56.49]	 Train Time [7.12]
Round [19/200]	 Train Loss [1.1051]	 Train Acc [58.17]	 Train Time [12.31]
KL Divergence: μ=0.2612
Round [20/200]	 Train Loss [1.0961]	 Train Acc [58.88]	 Test Loss [1.1854]	 Test Acc [56.70(11.46)]	 Train Time [12.31]
Round [21/200]	 Train Loss [1.0978]	 Train Acc [59.51]	 Train Time [9.76]
Round [22/200]	 Train Loss [1.1464]	 Train Acc [56.29]	 Train Time [11.55]
Round [23/200]	 Train Loss [1.0843]	 Train Acc [59.28]	 Train Time [12.74]
Round [24/200]	 Train Loss [1.1148]	 Train Acc [58.01]	 Train Time [12.06]
Round [25/200]	 Train Loss [1.1003]	 Train Acc [58.48]	 Train Time [15.64]
Round [26/200]	 Train Loss [1.1002]	 Train Acc [59.13]	 Train Time [18.54]
Round [27/200]	 Train Loss [1.0841]	 Train Acc [58.97]	 Train Time [17.37]
Round [28/200]	 Train Loss [1.0783]	 Train Acc [60.09]	 Train Time [16.68]
Round [29/200]	 Train Loss [1.0859]	 Train Acc [58.84]	 Train Time [12.92]
Round [30/200]	 Train Loss [1.0784]	 Train Acc [59.83]	 Train Time [17.01]
Round [31/200]	 Train Loss [1.1403]	 Train Acc [55.94]	 Train Time [16.88]
Round [32/200]	 Train Loss [1.1147]	 Train Acc [57.87]	 Train Time [18.47]
Round [33/200]	 Train Loss [1.0710]	 Train Acc [61.00]	 Train Time [13.00]
Round [34/200]	 Train Loss [0.9835]	 Train Acc [64.09]	 Train Time [15.14]
Round [35/200]	 Train Loss [1.0550]	 Train Acc [61.27]	 Train Time [14.92]
Round [36/200]	 Train Loss [1.0708]	 Train Acc [60.97]	 Train Time [19.61]
Round [37/200]	 Train Loss [0.9972]	 Train Acc [62.66]	 Train Time [17.87]
Round [38/200]	 Train Loss [1.0310]	 Train Acc [62.05]	 Train Time [14.00]
Round [39/200]	 Train Loss [1.0096]	 Train Acc [62.74]	 Train Time [15.98]
KL Divergence: μ=0.3225
Round [40/200]	 Train Loss [1.0819]	 Train Acc [60.14]	 Test Loss [1.1171]	 Test Acc [60.13(10.58)]	 Train Time [17.78]
Round [41/200]	 Train Loss [1.0077]	 Train Acc [62.87]	 Train Time [20.11]
Round [42/200]	 Train Loss [1.0135]	 Train Acc [63.42]	 Train Time [18.41]
Round [43/200]	 Train Loss [0.9864]	 Train Acc [63.12]	 Train Time [17.60]
Round [44/200]	 Train Loss [1.0011]	 Train Acc [64.11]	 Train Time [7.95]
Round [45/200]	 Train Loss [1.0016]	 Train Acc [63.00]	 Train Time [14.22]
Round [46/200]	 Train Loss [0.9633]	 Train Acc [63.49]	 Train Time [14.99]
Round [47/200]	 Train Loss [1.0180]	 Train Acc [62.54]	 Train Time [17.49]
Round [48/200]	 Train Loss [1.0343]	 Train Acc [61.85]	 Train Time [18.31]
Round [49/200]	 Train Loss [0.9800]	 Train Acc [64.36]	 Train Time [18.43]
Round [50/200]	 Train Loss [1.0450]	 Train Acc [60.79]	 Train Time [21.22]
Round [51/200]	 Train Loss [0.9084]	 Train Acc [65.62]	 Train Time [19.09]
Round [52/200]	 Train Loss [1.0016]	 Train Acc [62.87]	 Train Time [19.70]
Round [53/200]	 Train Loss [0.9800]	 Train Acc [64.67]	 Train Time [17.03]
Round [54/200]	 Train Loss [0.9670]	 Train Acc [64.21]	 Train Time [18.69]
Round [55/200]	 Train Loss [0.9471]	 Train Acc [65.28]	 Train Time [16.12]
Round [56/200]	 Train Loss [0.9199]	 Train Acc [66.67]	 Train Time [17.86]
Round [57/200]	 Train Loss [1.0450]	 Train Acc [61.64]	 Train Time [16.23]
Round [58/200]	 Train Loss [0.9160]	 Train Acc [66.08]	 Train Time [13.46]
Round [59/200]	 Train Loss [0.9413]	 Train Acc [65.07]	 Train Time [23.41]
KL Divergence: μ=0.4391
Round [60/200]	 Train Loss [0.9151]	 Train Acc [66.17]	 Test Loss [1.0582]	 Test Acc [62.43(10.28)]	 Train Time [14.86]
Round [61/200]	 Train Loss [0.9884]	 Train Acc [64.11]	 Train Time [17.62]
Round [62/200]	 Train Loss [0.9357]	 Train Acc [66.18]	 Train Time [19.84]
Round [63/200]	 Train Loss [0.9213]	 Train Acc [66.31]	 Train Time [17.34]
Round [64/200]	 Train Loss [0.9377]	 Train Acc [66.10]	 Train Time [14.27]
Round [65/200]	 Train Loss [0.9540]	 Train Acc [63.99]	 Train Time [13.81]
Round [66/200]	 Train Loss [0.9885]	 Train Acc [63.55]	 Train Time [16.65]
Round [67/200]	 Train Loss [0.9570]	 Train Acc [64.65]	 Train Time [11.33]
Round [68/200]	 Train Loss [0.9602]	 Train Acc [64.58]	 Train Time [16.10]
Round [69/200]	 Train Loss [0.9346]	 Train Acc [66.84]	 Train Time [20.92]
Round [70/200]	 Train Loss [0.9431]	 Train Acc [66.45]	 Train Time [19.36]
Round [71/200]	 Train Loss [0.8662]	 Train Acc [68.00]	 Train Time [18.76]
Round [72/200]	 Train Loss [0.8908]	 Train Acc [67.90]	 Train Time [17.72]
Round [73/200]	 Train Loss [0.9880]	 Train Acc [63.91]	 Train Time [16.01]
Round [74/200]	 Train Loss [0.9173]	 Train Acc [67.58]	 Train Time [15.17]
Round [75/200]	 Train Loss [0.8864]	 Train Acc [67.78]	 Train Time [16.66]
Round [76/200]	 Train Loss [0.9188]	 Train Acc [66.63]	 Train Time [17.81]
Round [77/200]	 Train Loss [0.9776]	 Train Acc [63.51]	 Train Time [12.40]
Round [78/200]	 Train Loss [0.8632]	 Train Acc [68.31]	 Train Time [15.23]
Round [79/200]	 Train Loss [0.8641]	 Train Acc [67.91]	 Train Time [16.52]
KL Divergence: μ=0.5528
Round [80/200]	 Train Loss [0.9037]	 Train Acc [67.24]	 Test Loss [1.0190]	 Test Acc [64.50(9.91)]	 Train Time [19.46]
Round [81/200]	 Train Loss [0.9227]	 Train Acc [66.36]	 Train Time [17.85]
Round [82/200]	 Train Loss [0.9386]	 Train Acc [66.42]	 Train Time [16.02]
Round [83/200]	 Train Loss [0.9098]	 Train Acc [67.35]	 Train Time [18.08]
Round [84/200]	 Train Loss [0.9105]	 Train Acc [67.16]	 Train Time [20.05]
Round [85/200]	 Train Loss [0.9079]	 Train Acc [67.53]	 Train Time [23.21]
Round [86/200]	 Train Loss [0.8754]	 Train Acc [68.12]	 Train Time [21.75]
Round [87/200]	 Train Loss [0.8287]	 Train Acc [69.95]	 Train Time [15.89]
Round [88/200]	 Train Loss [0.8269]	 Train Acc [69.64]	 Train Time [19.45]
Round [89/200]	 Train Loss [0.9057]	 Train Acc [66.91]	 Train Time [22.51]
Round [90/200]	 Train Loss [0.8539]	 Train Acc [68.71]	 Train Time [12.80]
Round [91/200]	 Train Loss [0.8413]	 Train Acc [69.29]	 Train Time [23.56]
Round [92/200]	 Train Loss [0.9538]	 Train Acc [65.47]	 Train Time [13.43]
Round [93/200]	 Train Loss [0.8371]	 Train Acc [69.82]	 Train Time [19.32]
Round [94/200]	 Train Loss [0.8916]	 Train Acc [67.16]	 Train Time [14.30]
Round [95/200]	 Train Loss [0.9035]	 Train Acc [67.14]	 Train Time [12.72]
Round [96/200]	 Train Loss [0.8237]	 Train Acc [70.07]	 Train Time [17.85]
Round [97/200]	 Train Loss [0.8500]	 Train Acc [69.77]	 Train Time [13.97]
Round [98/200]	 Train Loss [0.7914]	 Train Acc [71.16]	 Train Time [20.83]
Round [99/200]	 Train Loss [0.7929]	 Train Acc [70.58]	 Train Time [15.75]
KL Divergence: μ=0.7315
Round [100/200]	 Train Loss [0.8087]	 Train Acc [70.42]	 Test Loss [0.9661]	 Test Acc [66.41(9.27)]	 Train Time [17.50]
Round [101/200]	 Train Loss [0.8081]	 Train Acc [70.38]	 Train Time [20.52]
Round [102/200]	 Train Loss [0.7951]	 Train Acc [70.64]	 Train Time [16.10]
Round [103/200]	 Train Loss [0.8746]	 Train Acc [67.68]	 Train Time [14.94]
Round [104/200]	 Train Loss [0.8139]	 Train Acc [71.38]	 Train Time [20.35]
Round [105/200]	 Train Loss [0.7145]	 Train Acc [73.48]	 Train Time [20.63]
Round [106/200]	 Train Loss [0.7303]	 Train Acc [73.15]	 Train Time [16.82]
Round [107/200]	 Train Loss [0.8349]	 Train Acc [70.43]	 Train Time [13.86]
Round [108/200]	 Train Loss [0.8205]	 Train Acc [70.91]	 Train Time [19.01]
Round [109/200]	 Train Loss [0.7446]	 Train Acc [73.00]	 Train Time [17.39]
Round [110/200]	 Train Loss [0.8270]	 Train Acc [70.19]	 Train Time [20.66]
Round [111/200]	 Train Loss [0.8375]	 Train Acc [69.42]	 Train Time [17.79]
Round [112/200]	 Train Loss [0.7513]	 Train Acc [73.14]	 Train Time [14.81]
Round [113/200]	 Train Loss [0.7434]	 Train Acc [73.17]	 Train Time [18.70]
Round [114/200]	 Train Loss [0.7115]	 Train Acc [73.83]	 Train Time [21.57]
Round [115/200]	 Train Loss [0.7770]	 Train Acc [71.47]	 Train Time [18.77]
Round [116/200]	 Train Loss [0.8385]	 Train Acc [69.68]	 Train Time [17.99]
Round [117/200]	 Train Loss [0.7346]	 Train Acc [73.38]	 Train Time [15.65]
Round [118/200]	 Train Loss [0.8182]	 Train Acc [70.48]	 Train Time [14.84]
Round [119/200]	 Train Loss [0.7167]	 Train Acc [74.32]	 Train Time [15.53]
KL Divergence: μ=0.9311
