Training pFedFDA...
Round [1/200]	 Train Loss [1.6731]	 Train Acc [40.77]	 Train Time [8.20]
Round [120/200]	 Train Loss [0.7471]	 Train Acc [72.58]	 Test Loss [0.9551]	 Test Acc [67.53(9.07)]	 Train Time [13.27]
Round [121/200]	 Train Loss [0.8303]	 Train Acc [69.97]	 Train Time [19.44]
Round [122/200]	 Train Loss [0.7121]	 Train Acc [74.58]	 Train Time [14.71]
Round [123/200]	 Train Loss [0.7775]	 Train Acc [72.16]	 Train Time [16.22]
Round [124/200]	 Train Loss [0.7367]	 Train Acc [73.21]	 Train Time [18.77]
Round [125/200]	 Train Loss [0.7155]	 Train Acc [73.97]	 Train Time [19.80]
Round [126/200]	 Train Loss [0.8033]	 Train Acc [71.45]	 Train Time [12.93]
Round [127/200]	 Train Loss [0.7088]	 Train Acc [74.73]	 Train Time [12.58]
Round [128/200]	 Train Loss [0.6792]	 Train Acc [75.64]	 Train Time [19.25]
Round [129/200]	 Train Loss [0.7802]	 Train Acc [71.27]	 Train Time [20.48]
Round [130/200]	 Train Loss [0.7371]	 Train Acc [72.99]	 Train Time [11.72]
Round [131/200]	 Train Loss [0.6573]	 Train Acc [76.14]	 Train Time [14.90]
Round [132/200]	 Train Loss [0.7149]	 Train Acc [74.38]	 Train Time [17.92]
Round [133/200]	 Train Loss [0.6690]	 Train Acc [76.00]	 Train Time [16.94]
Round [134/200]	 Train Loss [0.7034]	 Train Acc [74.27]	 Train Time [14.68]
Round [135/200]	 Train Loss [0.7102]	 Train Acc [74.08]	 Train Time [22.72]
Round [136/200]	 Train Loss [0.7602]	 Train Acc [72.22]	 Train Time [16.99]
Round [137/200]	 Train Loss [0.7899]	 Train Acc [72.12]	 Train Time [17.67]
Round [138/200]	 Train Loss [0.7018]	 Train Acc [75.43]	 Train Time [19.79]
Round [139/200]	 Train Loss [0.7019]	 Train Acc [74.94]	 Train Time [16.10]
KL Divergence: μ=1.2171
Round [140/200]	 Train Loss [0.6032]	 Train Acc [77.71]	 Test Loss [0.9449]	 Test Acc [68.67(8.60)]	 Train Time [15.49]
Round [141/200]	 Train Loss [0.6695]	 Train Acc [76.07]	 Train Time [25.58]
Round [142/200]	 Train Loss [0.6524]	 Train Acc [76.87]	 Train Time [12.04]
Round [143/200]	 Train Loss [0.6370]	 Train Acc [77.13]	 Train Time [17.82]
Round [144/200]	 Train Loss [0.6693]	 Train Acc [75.31]	 Train Time [17.38]
Round [145/200]	 Train Loss [0.7088]	 Train Acc [74.88]	 Train Time [11.80]
Round [146/200]	 Train Loss [0.6805]	 Train Acc [76.08]	 Train Time [18.25]
Round [147/200]	 Train Loss [0.6984]	 Train Acc [74.80]	 Train Time [19.28]
Round [148/200]	 Train Loss [0.7411]	 Train Acc [74.32]	 Train Time [14.83]
Round [149/200]	 Train Loss [0.6062]	 Train Acc [78.44]	 Train Time [15.78]
Round [150/200]	 Train Loss [0.6635]	 Train Acc [76.43]	 Train Time [21.03]
Round [151/200]	 Train Loss [0.6514]	 Train Acc [76.28]	 Train Time [14.13]
Round [152/200]	 Train Loss [0.6471]	 Train Acc [76.86]	 Train Time [16.21]
Round [153/200]	 Train Loss [0.6503]	 Train Acc [77.36]	 Train Time [17.78]
Round [154/200]	 Train Loss [0.6180]	 Train Acc [77.94]	 Train Time [17.14]
Round [155/200]	 Train Loss [0.6430]	 Train Acc [76.64]	 Train Time [21.86]
Round [156/200]	 Train Loss [0.5774]	 Train Acc [80.07]	 Train Time [12.15]
Round [157/200]	 Train Loss [0.5748]	 Train Acc [79.48]	 Train Time [15.66]
Round [158/200]	 Train Loss [0.6656]	 Train Acc [76.59]	 Train Time [16.04]
Round [159/200]	 Train Loss [0.6380]	 Train Acc [77.31]	 Train Time [16.69]
KL Divergence: μ=1.6588
Round [160/200]	 Train Loss [0.6930]	 Train Acc [74.99]	 Test Loss [0.9177]	 Test Acc [69.14(8.63)]	 Train Time [18.48]
Round [161/200]	 Train Loss [0.6102]	 Train Acc [78.47]	 Train Time [18.26]
Round [162/200]	 Train Loss [0.6893]	 Train Acc [75.29]	 Train Time [10.13]
Round [163/200]	 Train Loss [0.5591]	 Train Acc [79.40]	 Train Time [16.55]
Round [164/200]	 Train Loss [0.6039]	 Train Acc [78.64]	 Train Time [17.10]
Round [165/200]	 Train Loss [0.6300]	 Train Acc [77.47]	 Train Time [18.88]
Round [166/200]	 Train Loss [0.6311]	 Train Acc [78.15]	 Train Time [15.57]
Round [167/200]	 Train Loss [0.5435]	 Train Acc [80.37]	 Train Time [16.51]
Round [168/200]	 Train Loss [0.5877]	 Train Acc [79.06]	 Train Time [17.25]
Round [169/200]	 Train Loss [0.5405]	 Train Acc [80.99]	 Train Time [17.21]
Round [170/200]	 Train Loss [0.5667]	 Train Acc [79.56]	 Train Time [19.03]
Round [171/200]	 Train Loss [0.6228]	 Train Acc [78.67]	 Train Time [19.96]
Round [172/200]	 Train Loss [0.6393]	 Train Acc [77.14]	 Train Time [18.17]
Round [173/200]	 Train Loss [0.5797]	 Train Acc [79.47]	 Train Time [19.44]
Round [174/200]	 Train Loss [0.5616]	 Train Acc [80.50]	 Train Time [18.69]
Round [175/200]	 Train Loss [0.6245]	 Train Acc [77.97]	 Train Time [15.00]
Round [176/200]	 Train Loss [0.6275]	 Train Acc [77.78]	 Train Time [14.04]
Round [177/200]	 Train Loss [0.5732]	 Train Acc [79.73]	 Train Time [16.95]
Round [178/200]	 Train Loss [0.5494]	 Train Acc [80.18]	 Train Time [17.12]
Round [179/200]	 Train Loss [0.5557]	 Train Acc [80.39]	 Train Time [18.43]
KL Divergence: μ=2.3019
Round [180/200]	 Train Loss [0.5584]	 Train Acc [80.78]	 Test Loss [0.9244]	 Test Acc [69.61(8.70)]	 Train Time [13.70]
Round [181/200]	 Train Loss [0.5597]	 Train Acc [80.52]	 Train Time [13.20]
Round [182/200]	 Train Loss [0.5753]	 Train Acc [80.14]	 Train Time [12.82]
Round [183/200]	 Train Loss [0.5839]	 Train Acc [79.28]	 Train Time [18.25]
Round [184/200]	 Train Loss [0.5890]	 Train Acc [79.60]	 Train Time [20.50]
Round [185/200]	 Train Loss [0.4605]	 Train Acc [83.90]	 Train Time [16.60]
Round [186/200]	 Train Loss [0.5918]	 Train Acc [79.15]	 Train Time [15.39]
Round [187/200]	 Train Loss [0.5170]	 Train Acc [81.72]	 Train Time [18.12]
Round [188/200]	 Train Loss [0.5602]	 Train Acc [80.08]	 Train Time [13.56]
Round [189/200]	 Train Loss [0.4615]	 Train Acc [84.17]	 Train Time [12.86]
Round [190/200]	 Train Loss [0.4830]	 Train Acc [82.82]	 Train Time [19.54]
Round [191/200]	 Train Loss [0.4929]	 Train Acc [82.22]	 Train Time [16.04]
Round [192/200]	 Train Loss [0.4794]	 Train Acc [83.26]	 Train Time [18.59]
Round [193/200]	 Train Loss [0.5737]	 Train Acc [80.68]	 Train Time [15.78]
Round [194/200]	 Train Loss [0.4280]	 Train Acc [85.01]	 Train Time [13.15]
Round [195/200]	 Train Loss [0.5439]	 Train Acc [81.06]	 Train Time [14.91]
Round [196/200]	 Train Loss [0.5167]	 Train Acc [82.29]	 Train Time [14.30]
Round [197/200]	 Train Loss [0.5480]	 Train Acc [80.77]	 Train Time [14.05]
Round [198/200]	 Train Loss [0.5094]	 Train Acc [82.77]	 Train Time [16.61]
Round [199/200]	 Train Loss [0.4891]	 Train Acc [83.13]	 Train Time [14.36]
KL Divergence: μ=2.5641
Round [200/200]	 Train Loss [0.4941]	 Train Acc [83.09]	 Test Loss [0.9339]	 Test Acc [70.25(8.52)]	 Train Time [54.71]
Method took (16.41, 4.31) seconds per training iteration
Method took (3332.15) total seconds
