Training pFedFDA...
Round [1/200]	 Train Loss [3.9923]	 Train Acc [9.86]	 Train Time [33.00]
Round [2/200]	 Train Loss [3.8004]	 Train Acc [11.61]	 Train Time [36.92]
Round [3/200]	 Train Loss [3.4152]	 Train Acc [16.59]	 Train Time [20.70]
Round [4/200]	 Train Loss [3.2382]	 Train Acc [19.35]	 Train Time [36.06]
Round [5/200]	 Train Loss [3.0928]	 Train Acc [22.04]	 Train Time [34.54]
Round [6/200]	 Train Loss [3.0292]	 Train Acc [23.48]	 Train Time [34.17]
Round [7/200]	 Train Loss [2.9060]	 Train Acc [25.88]	 Train Time [29.91]
Round [8/200]	 Train Loss [2.8495]	 Train Acc [27.52]	 Train Time [28.39]
Round [9/200]	 Train Loss [2.7056]	 Train Acc [30.74]	 Train Time [31.43]
Round [10/200]	 Train Loss [2.5400]	 Train Acc [34.17]	 Train Time [23.21]
Round [11/200]	 Train Loss [2.4397]	 Train Acc [36.31]	 Train Time [24.26]
Round [12/200]	 Train Loss [2.3787]	 Train Acc [37.98]	 Train Time [21.36]
Round [13/200]	 Train Loss [2.2431]	 Train Acc [41.25]	 Train Time [26.08]
Round [14/200]	 Train Loss [2.1151]	 Train Acc [44.44]	 Train Time [35.00]
Round [15/200]	 Train Loss [2.0375]	 Train Acc [46.20]	 Train Time [25.83]
Round [16/200]	 Train Loss [1.9717]	 Train Acc [48.73]	 Train Time [33.30]
Round [17/200]	 Train Loss [1.7991]	 Train Acc [53.11]	 Train Time [35.18]
Round [18/200]	 Train Loss [1.7192]	 Train Acc [55.75]	 Train Time [23.65]
Round [19/200]	 Train Loss [1.5907]	 Train Acc [58.61]	 Train Time [20.23]
KL Divergence: μ=5.2739
Round [20/200]	 Train Loss [1.5140]	 Train Acc [60.51]	 Test Loss [3.0850]	 Test Acc [32.14(8.71)]	 Train Time [28.21]
Round [21/200]	 Train Loss [1.4713]	 Train Acc [62.31]	 Train Time [31.61]
Round [22/200]	 Train Loss [1.4095]	 Train Acc [63.97]	 Train Time [26.51]
Round [23/200]	 Train Loss [1.3308]	 Train Acc [66.14]	 Train Time [34.02]
Round [24/200]	 Train Loss [1.3279]	 Train Acc [66.24]	 Train Time [35.76]
Round [25/200]	 Train Loss [1.2540]	 Train Acc [68.23]	 Train Time [30.57]
Round [26/200]	 Train Loss [1.2183]	 Train Acc [69.19]	 Train Time [39.38]
Round [27/200]	 Train Loss [1.1863]	 Train Acc [70.14]	 Train Time [25.22]
Round [28/200]	 Train Loss [1.1285]	 Train Acc [71.65]	 Train Time [34.67]
Round [29/200]	 Train Loss [1.1654]	 Train Acc [71.10]	 Train Time [38.01]
Round [30/200]	 Train Loss [1.0941]	 Train Acc [72.76]	 Train Time [43.63]
Round [31/200]	 Train Loss [1.0979]	 Train Acc [72.84]	 Train Time [26.95]
Round [32/200]	 Train Loss [1.0468]	 Train Acc [74.32]	 Train Time [28.14]
Round [33/200]	 Train Loss [1.0188]	 Train Acc [74.81]	 Train Time [43.75]
Round [34/200]	 Train Loss [1.0258]	 Train Acc [74.84]	 Train Time [32.70]
Round [35/200]	 Train Loss [0.9852]	 Train Acc [75.92]	 Train Time [27.84]
Round [36/200]	 Train Loss [0.9991]	 Train Acc [75.54]	 Train Time [31.59]
Round [37/200]	 Train Loss [0.9793]	 Train Acc [76.04]	 Train Time [34.03]
Round [38/200]	 Train Loss [0.9185]	 Train Acc [77.47]	 Train Time [37.36]
Round [39/200]	 Train Loss [0.9426]	 Train Acc [76.96]	 Train Time [26.41]
KL Divergence: μ=5.7843
Round [40/200]	 Train Loss [0.8883]	 Train Acc [78.12]	 Test Loss [3.1911]	 Test Acc [34.86(9.99)]	 Train Time [25.40]
Round [41/200]	 Train Loss [0.8821]	 Train Acc [78.69]	 Train Time [39.65]
Round [42/200]	 Train Loss [0.9193]	 Train Acc [77.55]	 Train Time [27.09]
Round [43/200]	 Train Loss [0.8610]	 Train Acc [78.91]	 Train Time [33.77]
Round [44/200]	 Train Loss [0.8491]	 Train Acc [79.30]	 Train Time [27.19]
Round [45/200]	 Train Loss [0.8723]	 Train Acc [78.88]	 Train Time [24.45]
Round [46/200]	 Train Loss [0.8451]	 Train Acc [79.55]	 Train Time [28.77]
Round [47/200]	 Train Loss [0.8369]	 Train Acc [79.72]	 Train Time [28.78]
Round [48/200]	 Train Loss [0.8257]	 Train Acc [79.89]	 Train Time [26.04]
Round [49/200]	 Train Loss [0.8484]	 Train Acc [79.49]	 Train Time [35.09]
Round [50/200]	 Train Loss [0.8210]	 Train Acc [80.00]	 Train Time [26.97]
Round [51/200]	 Train Loss [0.7634]	 Train Acc [81.46]	 Train Time [19.88]
Round [52/200]	 Train Loss [0.8288]	 Train Acc [79.94]	 Train Time [36.51]
Round [53/200]	 Train Loss [0.8298]	 Train Acc [79.96]	 Train Time [25.09]
