Training pFedFDA...
Round [1/200]	 Train Loss [8.3516]	 Train Acc [2.77]	 Train Time [124.32]
Round [2/200]	 Train Loss [5.9806]	 Train Acc [2.41]	 Train Time [174.01]
Round [3/200]	 Train Loss [4.9957]	 Train Acc [4.14]	 Train Time [237.27]
Round [4/200]	 Train Loss [4.6310]	 Train Acc [4.47]	 Train Time [266.30]
Round [5/200]	 Train Loss [4.5546]	 Train Acc [5.00]	 Train Time [231.73]
Round [6/200]	 Train Loss [4.5407]	 Train Acc [5.13]	 Train Time [314.85]
Round [7/200]	 Train Loss [4.4924]	 Train Acc [5.04]	 Train Time [259.17]
Round [8/200]	 Train Loss [4.4659]	 Train Acc [5.45]	 Train Time [298.16]
Round [9/200]	 Train Loss [4.4434]	 Train Acc [5.61]	 Train Time [218.76]
Round [10/200]	 Train Loss [4.3899]	 Train Acc [6.19]	 Train Time [221.98]
Round [11/200]	 Train Loss [4.3942]	 Train Acc [6.16]	 Train Time [174.04]
Round [12/200]	 Train Loss [4.3549]	 Train Acc [7.14]	 Train Time [198.64]
Round [13/200]	 Train Loss [4.3340]	 Train Acc [7.31]	 Train Time [205.13]
Round [14/200]	 Train Loss [4.2816]	 Train Acc [7.85]	 Train Time [235.53]
Round [15/200]	 Train Loss [4.2571]	 Train Acc [8.04]	 Train Time [248.18]
Round [16/200]	 Train Loss [4.1646]	 Train Acc [9.32]	 Train Time [255.62]
Round [17/200]	 Train Loss [4.0936]	 Train Acc [10.22]	 Train Time [263.78]
Round [18/200]	 Train Loss [4.0236]	 Train Acc [11.25]	 Train Time [271.90]
Round [19/200]	 Train Loss [3.9594]	 Train Acc [12.56]	 Train Time [196.10]
KL Divergence: μ=1.2226
Round [20/200]	 Train Loss [3.8910]	 Train Acc [13.44]	 Test Loss [4.1268]	 Test Acc [12.04(4.77)]	 Train Time [262.92]
Round [21/200]	 Train Loss [3.8016]	 Train Acc [14.61]	 Train Time [208.32]
Round [22/200]	 Train Loss [3.7195]	 Train Acc [15.92]	 Train Time [185.40]
Round [23/200]	 Train Loss [3.6271]	 Train Acc [17.39]	 Train Time [149.63]
Round [24/200]	 Train Loss [3.5333]	 Train Acc [19.26]	 Train Time [158.61]
Round [25/200]	 Train Loss [3.4432]	 Train Acc [20.68]	 Train Time [217.97]
Round [26/200]	 Train Loss [3.2908]	 Train Acc [23.53]	 Train Time [274.99]
Round [27/200]	 Train Loss [3.1914]	 Train Acc [25.60]	 Train Time [181.69]
Round [28/200]	 Train Loss [3.0563]	 Train Acc [28.83]	 Train Time [196.52]
Round [29/200]	 Train Loss [2.8819]	 Train Acc [32.42]	 Train Time [219.63]
Round [30/200]	 Train Loss [2.7860]	 Train Acc [35.28]	 Train Time [244.64]
Round [31/200]	 Train Loss [2.5766]	 Train Acc [39.95]	 Train Time [219.07]
Round [32/200]	 Train Loss [2.4398]	 Train Acc [43.42]	 Train Time [150.23]
Round [33/200]	 Train Loss [2.3490]	 Train Acc [46.11]	 Train Time [161.90]
Round [34/200]	 Train Loss [2.2022]	 Train Acc [49.35]	 Train Time [243.27]
Round [35/200]	 Train Loss [2.1221]	 Train Acc [51.57]	 Train Time [180.02]
Round [36/200]	 Train Loss [2.0282]	 Train Acc [53.53]	 Train Time [114.14]
Round [37/200]	 Train Loss [1.9312]	 Train Acc [55.98]	 Train Time [168.13]
Round [38/200]	 Train Loss [1.8060]	 Train Acc [58.77]	 Train Time [180.91]
Round [39/200]	 Train Loss [1.6862]	 Train Acc [61.72]	 Train Time [183.99]
KL Divergence: μ=3.9937
Round [40/200]	 Train Loss [1.6364]	 Train Acc [62.76]	 Test Loss [4.2669]	 Test Acc [17.71(5.10)]	 Train Time [154.56]
Round [41/200]	 Train Loss [1.5340]	 Train Acc [65.22]	 Train Time [144.55]
Round [42/200]	 Train Loss [1.4967]	 Train Acc [66.22]	 Train Time [158.63]
Round [43/200]	 Train Loss [1.3749]	 Train Acc [68.69]	 Train Time [224.63]
Round [44/200]	 Train Loss [1.3127]	 Train Acc [70.38]	 Train Time [186.02]
Round [45/200]	 Train Loss [1.2610]	 Train Acc [71.29]	 Train Time [196.98]
Round [46/200]	 Train Loss [1.2215]	 Train Acc [72.42]	 Train Time [146.39]
Round [47/200]	 Train Loss [1.1723]	 Train Acc [73.45]	 Train Time [131.33]
Round [48/200]	 Train Loss [1.0950]	 Train Acc [74.97]	 Train Time [142.98]
Round [49/200]	 Train Loss [1.0503]	 Train Acc [76.13]	 Train Time [177.31]
Round [50/200]	 Train Loss [0.9951]	 Train Acc [77.29]	 Train Time [155.71]
Round [51/200]	 Train Loss [0.9466]	 Train Acc [78.31]	 Train Time [194.21]
Round [52/200]	 Train Loss [0.9469]	 Train Acc [78.25]	 Train Time [224.73]
Round [53/200]	 Train Loss [0.8890]	 Train Acc [79.37]	 Train Time [152.78]
Round [54/200]	 Train Loss [0.8943]	 Train Acc [79.54]	 Train Time [202.17]
Round [55/200]	 Train Loss [0.8400]	 Train Acc [80.51]	 Train Time [201.93]
Round [56/200]	 Train Loss [0.8292]	 Train Acc [80.84]	 Train Time [184.81]
Round [57/200]	 Train Loss [0.7917]	 Train Acc [81.59]	 Train Time [198.75]
Round [58/200]	 Train Loss [0.8063]	 Train Acc [81.10]	 Train Time [151.73]
Round [59/200]	 Train Loss [0.7262]	 Train Acc [82.83]	 Train Time [130.76]
KL Divergence: μ=3.9256
Round [60/200]	 Train Loss [0.7598]	 Train Acc [82.13]	 Test Loss [4.1625]	 Test Acc [20.22(6.23)]	 Train Time [161.87]
Round [61/200]	 Train Loss [0.7920]	 Train Acc [81.63]	 Train Time [139.98]
Round [62/200]	 Train Loss [0.6894]	 Train Acc [83.57]	 Train Time [155.44]
Round [63/200]	 Train Loss [0.6993]	 Train Acc [83.26]	 Train Time [150.68]
Round [64/200]	 Train Loss [0.7093]	 Train Acc [82.99]	 Train Time [110.78]
Round [65/200]	 Train Loss [0.7092]	 Train Acc [83.25]	 Train Time [187.20]
Round [66/200]	 Train Loss [0.5974]	 Train Acc [85.33]	 Train Time [150.84]
Round [67/200]	 Train Loss [0.7114]	 Train Acc [83.03]	 Train Time [140.08]
Round [68/200]	 Train Loss [0.6744]	 Train Acc [83.96]	 Train Time [181.68]
Round [69/200]	 Train Loss [0.6508]	 Train Acc [84.25]	 Train Time [182.81]
Round [70/200]	 Train Loss [0.6261]	 Train Acc [84.88]	 Train Time [157.31]
Round [71/200]	 Train Loss [0.6340]	 Train Acc [84.49]	 Train Time [156.52]
Round [72/200]	 Train Loss [0.5709]	 Train Acc [85.78]	 Train Time [157.10]
Round [73/200]	 Train Loss [0.5827]	 Train Acc [85.45]	 Train Time [183.11]
Round [74/200]	 Train Loss [0.6054]	 Train Acc [85.21]	 Train Time [151.74]
Round [75/200]	 Train Loss [0.5613]	 Train Acc [86.06]	 Train Time [188.18]
Round [76/200]	 Train Loss [0.5453]	 Train Acc [86.33]	 Train Time [141.80]
Round [77/200]	 Train Loss [0.5655]	 Train Acc [85.93]	 Train Time [161.47]
Round [78/200]	 Train Loss [0.5383]	 Train Acc [86.45]	 Train Time [148.44]
Round [79/200]	 Train Loss [0.5304]	 Train Acc [86.55]	 Train Time [157.66]
KL Divergence: μ=4.2414
Round [80/200]	 Train Loss [0.5600]	 Train Acc [85.93]	 Test Loss [4.4010]	 Test Acc [20.33(6.19)]	 Train Time [99.10]
Round [81/200]	 Train Loss [0.5699]	 Train Acc [85.79]	 Train Time [123.49]
Round [82/200]	 Train Loss [0.4911]	 Train Acc [87.50]	 Train Time [156.95]
Round [83/200]	 Train Loss [0.5588]	 Train Acc [86.19]	 Train Time [156.15]
Round [84/200]	 Train Loss [0.4804]	 Train Acc [87.87]	 Train Time [172.04]
Round [85/200]	 Train Loss [0.4769]	 Train Acc [87.76]	 Train Time [180.04]
Round [86/200]	 Train Loss [0.5092]	 Train Acc [87.17]	 Train Time [172.86]
Round [87/200]	 Train Loss [0.4517]	 Train Acc [88.34]	 Train Time [127.09]
Round [88/200]	 Train Loss [0.4880]	 Train Acc [87.43]	 Train Time [134.30]
Round [89/200]	 Train Loss [0.5004]	 Train Acc [87.36]	 Train Time [203.68]
Round [90/200]	 Train Loss [0.4271]	 Train Acc [88.95]	 Train Time [155.71]
Round [91/200]	 Train Loss [0.4969]	 Train Acc [87.49]	 Train Time [164.09]
Round [92/200]	 Train Loss [0.4167]	 Train Acc [89.24]	 Train Time [162.68]
Round [93/200]	 Train Loss [0.4609]	 Train Acc [88.36]	 Train Time [156.97]
Round [94/200]	 Train Loss [0.4052]	 Train Acc [89.67]	 Train Time [167.72]
Round [95/200]	 Train Loss [0.4698]	 Train Acc [87.97]	 Train Time [141.19]
Round [96/200]	 Train Loss [0.4528]	 Train Acc [88.43]	 Train Time [110.84]
Round [97/200]	 Train Loss [0.3838]	 Train Acc [89.97]	 Train Time [162.51]
Round [98/200]	 Train Loss [0.4167]	 Train Acc [89.33]	 Train Time [161.69]
Round [99/200]	 Train Loss [0.3869]	 Train Acc [89.88]	 Train Time [192.31]
KL Divergence: μ=4.0579
Round [100/200]	 Train Loss [0.4254]	 Train Acc [88.81]	 Test Loss [4.7939]	 Test Acc [20.42(5.90)]	 Train Time [169.61]
Round [101/200]	 Train Loss [0.3718]	 Train Acc [90.46]	 Train Time [185.82]
Round [102/200]	 Train Loss [0.3274]	 Train Acc [91.45]	 Train Time [187.46]
Round [103/200]	 Train Loss [0.4414]	 Train Acc [88.46]	 Train Time [122.57]
Round [104/200]	 Train Loss [0.3489]	 Train Acc [90.85]	 Train Time [158.71]
Round [105/200]	 Train Loss [0.4087]	 Train Acc [89.30]	 Train Time [180.30]
Round [106/200]	 Train Loss [0.3046]	 Train Acc [92.42]	 Train Time [100.37]
Round [107/200]	 Train Loss [0.4117]	 Train Acc [89.33]	 Train Time [187.49]
Round [108/200]	 Train Loss [0.3341]	 Train Acc [91.34]	 Train Time [144.55]
Round [109/200]	 Train Loss [0.2945]	 Train Acc [92.50]	 Train Time [133.72]
Round [110/200]	 Train Loss [0.3383]	 Train Acc [91.18]	 Train Time [156.50]
Round [111/200]	 Train Loss [0.3227]	 Train Acc [91.70]	 Train Time [241.34]
Round [112/200]	 Train Loss [0.3438]	 Train Acc [91.13]	 Train Time [154.97]
Round [113/200]	 Train Loss [0.3839]	 Train Acc [90.34]	 Train Time [148.40]
Round [114/200]	 Train Loss [0.3049]	 Train Acc [92.07]	 Train Time [201.63]
Round [115/200]	 Train Loss [0.3313]	 Train Acc [91.42]	 Train Time [126.30]
Round [116/200]	 Train Loss [0.3452]	 Train Acc [91.01]	 Train Time [179.15]
Round [117/200]	 Train Loss [0.2975]	 Train Acc [92.28]	 Train Time [188.07]
Round [118/200]	 Train Loss [0.3019]	 Train Acc [92.15]	 Train Time [158.82]
Round [119/200]	 Train Loss [0.2541]	 Train Acc [93.35]	 Train Time [160.74]
KL Divergence: μ=3.8399
Round [120/200]	 Train Loss [0.2888]	 Train Acc [92.49]	 Test Loss [5.2146]	 Test Acc [19.81(5.56)]	 Train Time [162.72]
Round [121/200]	 Train Loss [0.3596]	 Train Acc [90.85]	 Train Time [167.54]
Round [122/200]	 Train Loss [0.2783]	 Train Acc [92.80]	 Train Time [174.06]
Round [123/200]	 Train Loss [0.2320]	 Train Acc [94.05]	 Train Time [127.29]
Round [124/200]	 Train Loss [0.3221]	 Train Acc [91.59]	 Train Time [142.67]
Round [125/200]	 Train Loss [0.2437]	 Train Acc [93.66]	 Train Time [177.42]
Round [126/200]	 Train Loss [0.3355]	 Train Acc [91.11]	 Train Time [105.68]
