Training pFedFDA...
Round [1/200]	 Train Loss [4.4446]	 Train Acc [5.52]	 Train Time [22.09]
Round [2/200]	 Train Loss [3.9517]	 Train Acc [7.36]	 Train Time [26.83]
Round [3/200]	 Train Loss [3.7170]	 Train Acc [7.87]	 Train Time [19.90]
Round [4/200]	 Train Loss [3.6471]	 Train Acc [8.88]	 Train Time [30.25]
Round [5/200]	 Train Loss [3.5681]	 Train Acc [9.75]	 Train Time [26.63]
Round [6/200]	 Train Loss [3.5505]	 Train Acc [10.35]	 Train Time [19.03]
Round [7/200]	 Train Loss [3.5427]	 Train Acc [10.76]	 Train Time [21.17]
Round [8/200]	 Train Loss [3.4493]	 Train Acc [11.25]	 Train Time [22.26]
Round [9/200]	 Train Loss [3.4927]	 Train Acc [11.38]	 Train Time [22.19]
Round [10/200]	 Train Loss [3.4506]	 Train Acc [11.40]	 Train Time [20.32]
Round [11/200]	 Train Loss [3.4077]	 Train Acc [13.22]	 Train Time [17.44]
Round [12/200]	 Train Loss [3.3208]	 Train Acc [13.78]	 Train Time [23.24]
Round [13/200]	 Train Loss [3.3120]	 Train Acc [15.08]	 Train Time [18.19]
Round [14/200]	 Train Loss [3.2526]	 Train Acc [16.03]	 Train Time [20.76]
Round [15/200]	 Train Loss [3.1811]	 Train Acc [17.13]	 Train Time [19.79]
Round [16/200]	 Train Loss [3.2040]	 Train Acc [16.79]	 Train Time [14.66]
Round [17/200]	 Train Loss [3.1362]	 Train Acc [18.08]	 Train Time [23.08]
Round [18/200]	 Train Loss [3.1217]	 Train Acc [18.78]	 Train Time [19.05]
Round [19/200]	 Train Loss [3.1436]	 Train Acc [18.26]	 Train Time [20.14]
KL Divergence: μ=0.1472
Round [20/200]	 Train Loss [3.1204]	 Train Acc [19.19]	 Test Loss [3.8112]	 Test Acc [16.30(3.88)]	 Train Time [17.77]
Round [21/200]	 Train Loss [3.1200]	 Train Acc [18.63]	 Train Time [21.50]
Round [22/200]	 Train Loss [3.0729]	 Train Acc [19.18]	 Train Time [21.57]
Round [23/200]	 Train Loss [3.0859]	 Train Acc [19.60]	 Train Time [27.00]
Round [24/200]	 Train Loss [3.0635]	 Train Acc [19.13]	 Train Time [14.27]
Round [25/200]	 Train Loss [3.0370]	 Train Acc [20.57]	 Train Time [21.91]
Round [26/200]	 Train Loss [2.9854]	 Train Acc [21.52]	 Train Time [19.85]
Round [27/200]	 Train Loss [2.9463]	 Train Acc [22.19]	 Train Time [17.87]
Round [28/200]	 Train Loss [3.0028]	 Train Acc [20.89]	 Train Time [24.73]
Round [29/200]	 Train Loss [2.9520]	 Train Acc [21.72]	 Train Time [18.01]
Round [30/200]	 Train Loss [2.9341]	 Train Acc [22.29]	 Train Time [21.18]
Round [31/200]	 Train Loss [2.9831]	 Train Acc [21.19]	 Train Time [20.32]
Round [32/200]	 Train Loss [2.9358]	 Train Acc [21.61]	 Train Time [21.24]
Round [33/200]	 Train Loss [2.8784]	 Train Acc [23.97]	 Train Time [19.92]
Round [34/200]	 Train Loss [2.9184]	 Train Acc [22.32]	 Train Time [14.65]
Round [35/200]	 Train Loss [2.9027]	 Train Acc [23.48]	 Train Time [15.00]
Round [36/200]	 Train Loss [2.8412]	 Train Acc [23.84]	 Train Time [23.85]
Round [37/200]	 Train Loss [2.8207]	 Train Acc [24.69]	 Train Time [27.43]
Round [38/200]	 Train Loss [2.8041]	 Train Acc [24.46]	 Train Time [18.16]
Round [39/200]	 Train Loss [2.7341]	 Train Acc [26.83]	 Train Time [19.69]
KL Divergence: μ=0.4306
Round [40/200]	 Train Loss [2.7613]	 Train Acc [26.24]	 Test Loss [3.5981]	 Test Acc [20.68(4.28)]	 Train Time [15.93]
Round [41/200]	 Train Loss [2.7667]	 Train Acc [25.88]	 Train Time [14.56]
Round [42/200]	 Train Loss [2.7205]	 Train Acc [27.28]	 Train Time [20.21]
Round [43/200]	 Train Loss [2.7163]	 Train Acc [27.67]	 Train Time [21.52]
Round [44/200]	 Train Loss [2.7368]	 Train Acc [26.91]	 Train Time [18.93]
Round [45/200]	 Train Loss [2.6938]	 Train Acc [27.57]	 Train Time [16.57]
Round [46/200]	 Train Loss [2.7167]	 Train Acc [27.65]	 Train Time [14.65]
Round [47/200]	 Train Loss [2.6970]	 Train Acc [28.28]	 Train Time [22.51]
Round [48/200]	 Train Loss [2.6724]	 Train Acc [28.27]	 Train Time [24.85]
Round [49/200]	 Train Loss [2.5944]	 Train Acc [29.78]	 Train Time [12.90]
Round [50/200]	 Train Loss [2.5576]	 Train Acc [31.21]	 Train Time [10.88]
Round [51/200]	 Train Loss [2.5739]	 Train Acc [31.37]	 Train Time [16.83]
Round [52/200]	 Train Loss [2.6322]	 Train Acc [29.63]	 Train Time [17.95]
Round [53/200]	 Train Loss [2.5132]	 Train Acc [32.34]	 Train Time [16.21]
Round [54/200]	 Train Loss [2.5034]	 Train Acc [33.44]	 Train Time [17.60]
Round [55/200]	 Train Loss [2.4083]	 Train Acc [34.49]	 Train Time [13.39]
Round [56/200]	 Train Loss [2.5066]	 Train Acc [32.61]	 Train Time [15.15]
Round [57/200]	 Train Loss [2.4653]	 Train Acc [32.84]	 Train Time [17.15]
Round [58/200]	 Train Loss [2.3918]	 Train Acc [34.67]	 Train Time [13.33]
Round [59/200]	 Train Loss [2.4238]	 Train Acc [34.51]	 Train Time [10.17]
KL Divergence: μ=1.0132
Round [60/200]	 Train Loss [2.3979]	 Train Acc [34.75]	 Test Loss [3.4924]	 Test Acc [24.05(4.59)]	 Train Time [11.74]
Round [61/200]	 Train Loss [2.4415]	 Train Acc [34.10]	 Train Time [16.02]
Round [62/200]	 Train Loss [2.2937]	 Train Acc [37.24]	 Train Time [14.69]
Round [63/200]	 Train Loss [2.2941]	 Train Acc [37.58]	 Train Time [13.01]
Round [64/200]	 Train Loss [2.3196]	 Train Acc [37.82]	 Train Time [13.54]
Round [65/200]	 Train Loss [2.2757]	 Train Acc [38.32]	 Train Time [12.85]
Round [66/200]	 Train Loss [2.2319]	 Train Acc [40.26]	 Train Time [12.90]
Round [67/200]	 Train Loss [2.1713]	 Train Acc [41.09]	 Train Time [13.04]
Round [68/200]	 Train Loss [2.1051]	 Train Acc [42.47]	 Train Time [13.25]
Round [69/200]	 Train Loss [2.1898]	 Train Acc [41.46]	 Train Time [14.72]
Round [70/200]	 Train Loss [2.1304]	 Train Acc [42.82]	 Train Time [16.30]
Round [71/200]	 Train Loss [1.9658]	 Train Acc [46.03]	 Train Time [13.67]
Round [72/200]	 Train Loss [2.0556]	 Train Acc [44.19]	 Train Time [16.63]
Round [73/200]	 Train Loss [2.0235]	 Train Acc [45.88]	 Train Time [13.66]
Round [74/200]	 Train Loss [2.0250]	 Train Acc [45.65]	 Train Time [18.46]
Round [75/200]	 Train Loss [2.0087]	 Train Acc [46.03]	 Train Time [10.83]
Round [76/200]	 Train Loss [1.9499]	 Train Acc [47.57]	 Train Time [17.89]
Round [77/200]	 Train Loss [1.9605]	 Train Acc [47.48]	 Train Time [15.25]
Round [78/200]	 Train Loss [1.8988]	 Train Acc [48.76]	 Train Time [18.30]
Round [79/200]	 Train Loss [1.9377]	 Train Acc [48.17]	 Train Time [11.24]
KL Divergence: μ=1.8915
