Training pFedFDA...
Round [1/200]	 Train Loss [1.5309]	 Train Acc [43.97]	 Train Time [23.93]
Round [2/200]	 Train Loss [1.3787]	 Train Acc [51.70]	 Train Time [20.61]
Round [3/200]	 Train Loss [1.2683]	 Train Acc [54.28]	 Train Time [30.42]
Round [4/200]	 Train Loss [1.0899]	 Train Acc [59.82]	 Train Time [25.11]
Round [5/200]	 Train Loss [1.1558]	 Train Acc [58.65]	 Train Time [31.18]
Round [6/200]	 Train Loss [1.0898]	 Train Acc [60.73]	 Train Time [20.71]
Round [7/200]	 Train Loss [1.0311]	 Train Acc [62.21]	 Train Time [29.03]
Round [8/200]	 Train Loss [0.9803]	 Train Acc [64.26]	 Train Time [27.23]
Round [9/200]	 Train Loss [1.0652]	 Train Acc [61.46]	 Train Time [19.94]
Round [10/200]	 Train Loss [0.9279]	 Train Acc [66.42]	 Train Time [21.68]
Round [11/200]	 Train Loss [0.9497]	 Train Acc [64.87]	 Train Time [34.18]
Round [12/200]	 Train Loss [0.9029]	 Train Acc [67.60]	 Train Time [34.88]
Round [13/200]	 Train Loss [0.9036]	 Train Acc [67.21]	 Train Time [33.31]
Round [14/200]	 Train Loss [0.9088]	 Train Acc [67.02]	 Train Time [31.21]
Round [15/200]	 Train Loss [0.8532]	 Train Acc [68.84]	 Train Time [30.49]
Round [16/200]	 Train Loss [0.9086]	 Train Acc [66.60]	 Train Time [27.24]
Round [17/200]	 Train Loss [0.8217]	 Train Acc [70.60]	 Train Time [32.09]
Round [18/200]	 Train Loss [0.8061]	 Train Acc [71.11]	 Train Time [29.90]
Round [19/200]	 Train Loss [0.8652]	 Train Acc [69.33]	 Train Time [31.04]
KL Divergence: μ=0.9406
Round [20/200]	 Train Loss [0.8078]	 Train Acc [70.89]	 Test Loss [0.9102]	 Test Acc [67.42(9.39)]	 Train Time [37.35]
Round [21/200]	 Train Loss [0.7446]	 Train Acc [73.52]	 Train Time [36.65]
Round [22/200]	 Train Loss [0.8234]	 Train Acc [70.28]	 Train Time [36.09]
Round [23/200]	 Train Loss [0.6918]	 Train Acc [74.98]	 Train Time [40.08]
Round [24/200]	 Train Loss [0.7134]	 Train Acc [74.68]	 Train Time [30.16]
Round [25/200]	 Train Loss [0.6645]	 Train Acc [76.29]	 Train Time [29.25]
