Training pFedFDA...
Round [1/200]	 Train Loss [4.0942]	 Train Acc [9.58]	 Train Time [22.96]
Round [2/200]	 Train Loss [3.8659]	 Train Acc [10.46]	 Train Time [26.18]
Round [3/200]	 Train Loss [3.4562]	 Train Acc [15.92]	 Train Time [35.80]
Round [4/200]	 Train Loss [3.2843]	 Train Acc [18.62]	 Train Time [39.44]
Round [5/200]	 Train Loss [3.1569]	 Train Acc [20.64]	 Train Time [55.66]
Round [6/200]	 Train Loss [3.0661]	 Train Acc [22.67]	 Train Time [39.33]
Round [7/200]	 Train Loss [3.0072]	 Train Acc [23.67]	 Train Time [49.00]
Round [8/200]	 Train Loss [2.9386]	 Train Acc [25.66]	 Train Time [45.27]
Round [9/200]	 Train Loss [2.9032]	 Train Acc [26.38]	 Train Time [44.27]
Round [10/200]	 Train Loss [2.8391]	 Train Acc [27.76]	 Train Time [52.03]
Round [11/200]	 Train Loss [2.7423]	 Train Acc [29.67]	 Train Time [60.41]
Round [12/200]	 Train Loss [2.6970]	 Train Acc [30.83]	 Train Time [54.32]
Round [13/200]	 Train Loss [2.6268]	 Train Acc [31.91]	 Train Time [43.01]
Round [14/200]	 Train Loss [2.4802]	 Train Acc [35.29]	 Train Time [34.35]
Round [15/200]	 Train Loss [2.4187]	 Train Acc [36.88]	 Train Time [46.88]
Round [16/200]	 Train Loss [2.3043]	 Train Acc [39.96]	 Train Time [57.32]
Round [17/200]	 Train Loss [2.2336]	 Train Acc [41.74]	 Train Time [53.56]
Round [18/200]	 Train Loss [2.2226]	 Train Acc [42.19]	 Train Time [53.38]
Round [19/200]	 Train Loss [2.0371]	 Train Acc [46.68]	 Train Time [45.15]
KL Divergence: μ=5.7393
Round [20/200]	 Train Loss [2.0620]	 Train Acc [46.36]	 Test Loss [3.0901]	 Test Acc [29.72(10.21)]	 Train Time [30.58]
Round [21/200]	 Train Loss [1.9079]	 Train Acc [50.66]	 Train Time [55.11]
Round [22/200]	 Train Loss [1.9052]	 Train Acc [50.77]	 Train Time [43.06]
Round [23/200]	 Train Loss [1.7858]	 Train Acc [53.92]	 Train Time [50.58]
Round [24/200]	 Train Loss [1.6651]	 Train Acc [56.93]	 Train Time [44.24]
Round [25/200]	 Train Loss [1.5779]	 Train Acc [59.45]	 Train Time [51.00]
Round [26/200]	 Train Loss [1.5076]	 Train Acc [61.20]	 Train Time [52.90]
Round [27/200]	 Train Loss [1.4949]	 Train Acc [61.61]	 Train Time [45.73]
Round [28/200]	 Train Loss [1.6126]	 Train Acc [59.58]	 Train Time [44.76]
Round [29/200]	 Train Loss [1.3472]	 Train Acc [66.00]	 Train Time [42.60]
Round [30/200]	 Train Loss [1.4158]	 Train Acc [64.52]	 Train Time [49.72]
Round [31/200]	 Train Loss [1.2735]	 Train Acc [67.92]	 Train Time [44.56]
Round [32/200]	 Train Loss [1.3747]	 Train Acc [65.96]	 Train Time [43.95]
Round [33/200]	 Train Loss [1.3181]	 Train Acc [67.22]	 Train Time [39.20]
Round [34/200]	 Train Loss [1.2448]	 Train Acc [69.29]	 Train Time [39.49]
Round [35/200]	 Train Loss [1.2764]	 Train Acc [68.46]	 Train Time [40.05]
Round [36/200]	 Train Loss [1.1879]	 Train Acc [70.67]	 Train Time [32.21]
Round [37/200]	 Train Loss [1.0685]	 Train Acc [73.24]	 Train Time [40.65]
Round [38/200]	 Train Loss [1.1063]	 Train Acc [72.74]	 Train Time [41.96]
Round [39/200]	 Train Loss [1.1568]	 Train Acc [71.79]	 Train Time [34.01]
KL Divergence: μ=6.6932
Round [40/200]	 Train Loss [1.1582]	 Train Acc [71.56]	 Test Loss [3.2807]	 Test Acc [34.11(10.45)]	 Train Time [36.12]
Round [41/200]	 Train Loss [1.1425]	 Train Acc [71.82]	 Train Time [38.92]
