Training FedAvg...
Round [1/200]	 Train Loss [3.9937]	 Train Acc [23.94]	 Train Time [114.24]
Round [2/200]	 Train Loss [4.0118]	 Train Acc [21.86]	 Train Time [82.43]
Round [3/200]	 Train Loss [3.9484]	 Train Acc [21.28]	 Train Time [83.85]
Round [4/200]	 Train Loss [4.0122]	 Train Acc [23.12]	 Train Time [78.77]
Round [5/200]	 Train Loss [3.8620]	 Train Acc [26.08]	 Train Time [89.94]
Round [6/200]	 Train Loss [3.9392]	 Train Acc [24.81]	 Train Time [114.48]
Round [7/200]	 Train Loss [3.8895]	 Train Acc [25.38]	 Train Time [109.90]
Round [8/200]	 Train Loss [3.8365]	 Train Acc [26.01]	 Train Time [62.83]
Round [9/200]	 Train Loss [3.8149]	 Train Acc [27.98]	 Train Time [103.17]
Round [10/200]	 Train Loss [3.8578]	 Train Acc [27.69]	 Train Time [118.17]
Round [11/200]	 Train Loss [3.8115]	 Train Acc [29.32]	 Train Time [106.75]
Round [12/200]	 Train Loss [3.7818]	 Train Acc [28.82]	 Train Time [189.85]
Round [13/200]	 Train Loss [3.7432]	 Train Acc [31.36]	 Train Time [112.50]
Round [14/200]	 Train Loss [3.7649]	 Train Acc [30.80]	 Train Time [127.37]
Round [15/200]	 Train Loss [3.7208]	 Train Acc [32.55]	 Train Time [125.09]
Round [16/200]	 Train Loss [3.6815]	 Train Acc [33.23]	 Train Time [137.89]
Round [17/200]	 Train Loss [3.6652]	 Train Acc [34.78]	 Train Time [119.06]
Round [18/200]	 Train Loss [3.6590]	 Train Acc [33.76]	 Train Time [91.52]
Round [19/200]	 Train Loss [3.5983]	 Train Acc [35.54]	 Train Time [152.67]
Round [20/200]	 Train Loss [3.6575]	 Train Acc [35.20]	 Test Loss [4.1147|3.1065]	 Test Acc [26.31(10.43)|32.48(11.26)]	 Train Time [104.48]
Round [21/200]	 Train Loss [3.6312]	 Train Acc [34.58]	 Train Time [78.50]
Round [22/200]	 Train Loss [3.5355]	 Train Acc [38.12]	 Train Time [79.66]
Round [23/200]	 Train Loss [3.5688]	 Train Acc [34.34]	 Train Time [75.60]
Round [24/200]	 Train Loss [3.5711]	 Train Acc [37.31]	 Train Time [147.18]
Round [25/200]	 Train Loss [3.5448]	 Train Acc [37.48]	 Train Time [112.93]
Round [26/200]	 Train Loss [3.4956]	 Train Acc [36.39]	 Train Time [131.02]
Round [27/200]	 Train Loss [3.4211]	 Train Acc [38.55]	 Train Time [116.78]
Round [28/200]	 Train Loss [3.4539]	 Train Acc [39.74]	 Train Time [120.29]
Round [29/200]	 Train Loss [3.3785]	 Train Acc [40.64]	 Train Time [105.92]
Round [30/200]	 Train Loss [3.4554]	 Train Acc [39.91]	 Train Time [160.84]
Round [31/200]	 Train Loss [3.3644]	 Train Acc [43.17]	 Train Time [179.97]
Round [32/200]	 Train Loss [3.4064]	 Train Acc [41.40]	 Train Time [103.78]
Round [33/200]	 Train Loss [3.3446]	 Train Acc [42.31]	 Train Time [142.56]
Round [34/200]	 Train Loss [3.3526]	 Train Acc [43.10]	 Train Time [130.30]
Round [35/200]	 Train Loss [3.2484]	 Train Acc [44.19]	 Train Time [161.10]
Round [36/200]	 Train Loss [3.2582]	 Train Acc [45.25]	 Train Time [140.53]
Round [37/200]	 Train Loss [3.2414]	 Train Acc [44.85]	 Train Time [193.02]
Round [38/200]	 Train Loss [3.2346]	 Train Acc [45.58]	 Train Time [155.44]
Round [39/200]	 Train Loss [3.1786]	 Train Acc [47.23]	 Train Time [147.44]
Round [40/200]	 Train Loss [3.1548]	 Train Acc [46.16]	 Test Loss [3.7494|2.8763]	 Test Acc [32.71(11.35)|40.81(10.55)]	 Train Time [175.15]
Round [41/200]	 Train Loss [3.0711]	 Train Acc [48.52]	 Train Time [125.23]
Round [42/200]	 Train Loss [3.1758]	 Train Acc [47.57]	 Train Time [179.81]
Round [43/200]	 Train Loss [3.0898]	 Train Acc [49.71]	 Train Time [108.13]
Round [44/200]	 Train Loss [3.1329]	 Train Acc [48.44]	 Train Time [133.30]
