Training FedAvg...
Round [1/200]	 Train Loss [2.2213]	 Train Acc [29.61]	 Train Time [20.34]
Round [2/200]	 Train Loss [2.1467]	 Train Acc [32.07]	 Train Time [6.05]
Round [3/200]	 Train Loss [1.9988]	 Train Acc [35.00]	 Train Time [8.40]
Round [4/200]	 Train Loss [1.8403]	 Train Acc [36.12]	 Train Time [7.77]
Round [5/200]	 Train Loss [1.7538]	 Train Acc [40.16]	 Train Time [4.81]
Round [6/200]	 Train Loss [1.7728]	 Train Acc [38.99]	 Train Time [6.33]
Round [7/200]	 Train Loss [1.8270]	 Train Acc [36.08]	 Train Time [7.64]
Round [8/200]	 Train Loss [1.6748]	 Train Acc [43.32]	 Train Time [6.18]
Round [9/200]	 Train Loss [1.7660]	 Train Acc [37.30]	 Train Time [5.20]
Round [10/200]	 Train Loss [1.6152]	 Train Acc [41.36]	 Train Time [5.88]
Round [11/200]	 Train Loss [1.6502]	 Train Acc [42.77]	 Train Time [5.12]
Round [12/200]	 Train Loss [1.5611]	 Train Acc [47.30]	 Train Time [5.08]
Round [13/200]	 Train Loss [1.6747]	 Train Acc [39.37]	 Train Time [3.94]
Round [14/200]	 Train Loss [1.5309]	 Train Acc [46.39]	 Train Time [4.92]
Round [15/200]	 Train Loss [1.5546]	 Train Acc [44.94]	 Train Time [4.34]
Round [16/200]	 Train Loss [1.5285]	 Train Acc [46.30]	 Train Time [6.12]
Round [17/200]	 Train Loss [1.5388]	 Train Acc [45.03]	 Train Time [4.70]
Round [18/200]	 Train Loss [1.4519]	 Train Acc [49.58]	 Train Time [4.78]
Round [19/200]	 Train Loss [1.5214]	 Train Acc [46.05]	 Train Time [4.45]
Round [20/200]	 Train Loss [1.4371]	 Train Acc [50.72]	 Test Loss [2.0289|1.3805]	 Test Acc [21.30(16.02)|51.43(14.42)]	 Train Time [5.66]
Round [21/200]	 Train Loss [1.5011]	 Train Acc [45.87]	 Train Time [5.63]
Round [22/200]	 Train Loss [1.4850]	 Train Acc [47.56]	 Train Time [6.17]
Round [23/200]	 Train Loss [1.4334]	 Train Acc [51.45]	 Train Time [5.89]
Round [24/200]	 Train Loss [1.3951]	 Train Acc [51.50]	 Train Time [5.52]
Round [25/200]	 Train Loss [1.3444]	 Train Acc [53.16]	 Train Time [5.04]
Round [26/200]	 Train Loss [1.4359]	 Train Acc [49.69]	 Train Time [5.82]
Round [27/200]	 Train Loss [1.4674]	 Train Acc [48.32]	 Train Time [5.61]
Round [28/200]	 Train Loss [1.3677]	 Train Acc [51.83]	 Train Time [5.63]
Round [29/200]	 Train Loss [1.4751]	 Train Acc [48.05]	 Train Time [4.90]
Round [30/200]	 Train Loss [1.3628]	 Train Acc [52.07]	 Train Time [4.39]
Round [31/200]	 Train Loss [1.3595]	 Train Acc [50.26]	 Train Time [6.32]
Round [32/200]	 Train Loss [1.3629]	 Train Acc [50.06]	 Train Time [4.56]
Round [33/200]	 Train Loss [1.3090]	 Train Acc [53.88]	 Train Time [6.34]
Round [34/200]	 Train Loss [1.3368]	 Train Acc [52.31]	 Train Time [5.17]
Round [35/200]	 Train Loss [1.3325]	 Train Acc [52.88]	 Train Time [5.05]
Round [36/200]	 Train Loss [1.3549]	 Train Acc [51.02]	 Train Time [6.62]
Round [37/200]	 Train Loss [1.3269]	 Train Acc [52.19]	 Train Time [5.53]
Round [38/200]	 Train Loss [1.3268]	 Train Acc [51.45]	 Train Time [6.57]
Round [39/200]	 Train Loss [1.3361]	 Train Acc [51.58]	 Train Time [5.11]
Round [40/200]	 Train Loss [1.2694]	 Train Acc [54.25]	 Test Loss [1.8341|1.2355]	 Test Acc [30.45(14.22)|56.51(15.45)]	 Train Time [6.54]
Round [41/200]	 Train Loss [1.3097]	 Train Acc [53.99]	 Train Time [5.70]
Round [42/200]	 Train Loss [1.2741]	 Train Acc [54.81]	 Train Time [5.06]
Round [43/200]	 Train Loss [1.2283]	 Train Acc [56.90]	 Train Time [4.95]
Round [44/200]	 Train Loss [1.2731]	 Train Acc [55.55]	 Train Time [7.53]
Round [45/200]	 Train Loss [1.2943]	 Train Acc [54.82]	 Train Time [4.85]
Round [46/200]	 Train Loss [1.3324]	 Train Acc [52.37]	 Train Time [5.22]
Round [47/200]	 Train Loss [1.1866]	 Train Acc [58.90]	 Train Time [6.18]
Round [48/200]	 Train Loss [1.2448]	 Train Acc [56.70]	 Train Time [5.14]
Round [49/200]	 Train Loss [1.2290]	 Train Acc [56.82]	 Train Time [5.82]
Round [50/200]	 Train Loss [1.3494]	 Train Acc [53.65]	 Train Time [4.86]
Round [51/200]	 Train Loss [1.3247]	 Train Acc [53.32]	 Train Time [5.50]
Round [52/200]	 Train Loss [1.2160]	 Train Acc [57.67]	 Train Time [5.55]
Round [53/200]	 Train Loss [1.2884]	 Train Acc [54.69]	 Train Time [7.11]
Round [54/200]	 Train Loss [1.2635]	 Train Acc [55.59]	 Train Time [4.98]
Round [55/200]	 Train Loss [1.2077]	 Train Acc [57.56]	 Train Time [3.84]
