Training FedAvg...
Round [1/200]	 Train Loss [1.7698]	 Train Acc [40.20]	 Train Time [27.27]
Round [2/200]	 Train Loss [1.6240]	 Train Acc [41.12]	 Train Time [17.34]
Round [3/200]	 Train Loss [1.4527]	 Train Acc [48.24]	 Train Time [14.36]
Round [4/200]	 Train Loss [1.3075]	 Train Acc [52.49]	 Train Time [20.87]
Round [5/200]	 Train Loss [1.2733]	 Train Acc [55.16]	 Train Time [17.12]
Round [6/200]	 Train Loss [1.2149]	 Train Acc [57.37]	 Train Time [20.02]
Round [7/200]	 Train Loss [1.1781]	 Train Acc [57.94]	 Train Time [23.03]
Round [8/200]	 Train Loss [1.1804]	 Train Acc [58.01]	 Train Time [25.37]
Round [9/200]	 Train Loss [1.1126]	 Train Acc [61.49]	 Train Time [16.20]
Round [10/200]	 Train Loss [1.0572]	 Train Acc [62.07]	 Train Time [25.72]
Round [11/200]	 Train Loss [1.0182]	 Train Acc [63.84]	 Train Time [26.19]
Round [12/200]	 Train Loss [1.0565]	 Train Acc [62.71]	 Train Time [25.00]
Round [13/200]	 Train Loss [0.9443]	 Train Acc [66.82]	 Train Time [19.21]
Round [14/200]	 Train Loss [0.9388]	 Train Acc [67.00]	 Train Time [21.88]
Round [15/200]	 Train Loss [0.9495]	 Train Acc [66.37]	 Train Time [22.57]
Round [16/200]	 Train Loss [0.9589]	 Train Acc [66.13]	 Train Time [22.93]
Round [17/200]	 Train Loss [0.9068]	 Train Acc [68.35]	 Train Time [23.01]
Round [18/200]	 Train Loss [0.8870]	 Train Acc [68.72]	 Train Time [16.02]
Round [19/200]	 Train Loss [0.8450]	 Train Acc [69.94]	 Train Time [17.51]
Round [20/200]	 Train Loss [0.8634]	 Train Acc [69.84]	 Test Loss [1.5192|0.9584]	 Test Acc [44.87(15.47)|67.42(12.72)]	 Train Time [24.47]
Round [21/200]	 Train Loss [0.8115]	 Train Acc [71.29]	 Train Time [19.18]
Round [22/200]	 Train Loss [0.8426]	 Train Acc [70.53]	 Train Time [21.60]
Round [23/200]	 Train Loss [0.8012]	 Train Acc [71.66]	 Train Time [24.61]
Round [24/200]	 Train Loss [0.7883]	 Train Acc [72.08]	 Train Time [21.41]
Round [25/200]	 Train Loss [0.7802]	 Train Acc [72.83]	 Train Time [19.43]
Round [26/200]	 Train Loss [0.6918]	 Train Acc [75.79]	 Train Time [21.25]
Round [27/200]	 Train Loss [0.7160]	 Train Acc [75.13]	 Train Time [17.77]
Round [28/200]	 Train Loss [0.6968]	 Train Acc [75.64]	 Train Time [13.87]
Round [29/200]	 Train Loss [0.7236]	 Train Acc [75.00]	 Train Time [17.02]
Round [30/200]	 Train Loss [0.7018]	 Train Acc [75.86]	 Train Time [13.71]
Round [31/200]	 Train Loss [0.7021]	 Train Acc [76.03]	 Train Time [14.52]
Round [32/200]	 Train Loss [0.6607]	 Train Acc [76.97]	 Train Time [20.82]
Round [33/200]	 Train Loss [0.6049]	 Train Acc [79.12]	 Train Time [23.94]
Round [34/200]	 Train Loss [0.5900]	 Train Acc [80.08]	 Train Time [16.37]
Round [35/200]	 Train Loss [0.5594]	 Train Acc [81.30]	 Train Time [20.27]
Round [36/200]	 Train Loss [0.5741]	 Train Acc [80.43]	 Train Time [25.62]
Round [37/200]	 Train Loss [0.5695]	 Train Acc [80.67]	 Train Time [21.66]
Round [38/200]	 Train Loss [0.5489]	 Train Acc [81.46]	 Train Time [19.80]
Round [39/200]	 Train Loss [0.5372]	 Train Acc [81.65]	 Train Time [20.65]
Round [40/200]	 Train Loss [0.5087]	 Train Acc [82.96]	 Test Loss [1.3398|1.0461]	 Test Acc [53.29(14.92)|69.16(12.22)]	 Train Time [17.48]
Round [41/200]	 Train Loss [0.4602]	 Train Acc [84.71]	 Train Time [19.50]
Round [42/200]	 Train Loss [0.4617]	 Train Acc [84.58]	 Train Time [19.58]
Round [43/200]	 Train Loss [0.4335]	 Train Acc [85.42]	 Train Time [20.66]
Round [44/200]	 Train Loss [0.4748]	 Train Acc [84.34]	 Train Time [18.54]
Round [45/200]	 Train Loss [0.4334]	 Train Acc [85.60]	 Train Time [26.19]
Round [46/200]	 Train Loss [0.4118]	 Train Acc [86.38]	 Train Time [19.15]
Round [47/200]	 Train Loss [0.4973]	 Train Acc [83.70]	 Train Time [25.77]
Round [48/200]	 Train Loss [0.4032]	 Train Acc [86.76]	 Train Time [18.88]
Round [49/200]	 Train Loss [0.4057]	 Train Acc [86.62]	 Train Time [22.09]
Round [50/200]	 Train Loss [0.4176]	 Train Acc [86.40]	 Train Time [16.82]
Round [51/200]	 Train Loss [0.3773]	 Train Acc [87.60]	 Train Time [21.75]
Round [52/200]	 Train Loss [0.4044]	 Train Acc [86.82]	 Train Time [21.39]
Round [53/200]	 Train Loss [0.3891]	 Train Acc [87.43]	 Train Time [21.71]
Round [54/200]	 Train Loss [0.3938]	 Train Acc [87.14]	 Train Time [20.68]
Round [55/200]	 Train Loss [0.4046]	 Train Acc [86.67]	 Train Time [17.24]
Round [56/200]	 Train Loss [0.3623]	 Train Acc [88.11]	 Train Time [24.84]
Round [57/200]	 Train Loss [0.3010]	 Train Acc [90.39]	 Train Time [12.93]
Round [58/200]	 Train Loss [0.3715]	 Train Acc [88.06]	 Train Time [15.47]
Round [59/200]	 Train Loss [0.3826]	 Train Acc [87.63]	 Train Time [24.71]
Round [60/200]	 Train Loss [0.3469]	 Train Acc [88.79]	 Test Loss [1.4334|1.0626]	 Test Acc [54.02(15.26)|71.26(10.81)]	 Train Time [22.73]
Round [61/200]	 Train Loss [0.3609]	 Train Acc [88.32]	 Train Time [17.31]
Round [62/200]	 Train Loss [0.3157]	 Train Acc [89.94]	 Train Time [19.64]
Round [63/200]	 Train Loss [0.3024]	 Train Acc [90.31]	 Train Time [23.38]
Round [64/200]	 Train Loss [0.3968]	 Train Acc [87.07]	 Train Time [15.20]
Round [65/200]	 Train Loss [0.3505]	 Train Acc [88.99]	 Train Time [19.73]
Round [66/200]	 Train Loss [0.3377]	 Train Acc [89.29]	 Train Time [21.48]
Round [67/200]	 Train Loss [0.2621]	 Train Acc [91.75]	 Train Time [16.79]
Round [68/200]	 Train Loss [0.3176]	 Train Acc [89.86]	 Train Time [22.15]
Round [69/200]	 Train Loss [0.3081]	 Train Acc [90.13]	 Train Time [19.96]
Round [70/200]	 Train Loss [0.2876]	 Train Acc [90.79]	 Train Time [21.38]
Round [71/200]	 Train Loss [0.2733]	 Train Acc [91.45]	 Train Time [14.52]
Round [72/200]	 Train Loss [0.3465]	 Train Acc [88.89]	 Train Time [13.91]
Round [73/200]	 Train Loss [0.3401]	 Train Acc [89.19]	 Train Time [21.44]
Round [74/200]	 Train Loss [0.3020]	 Train Acc [90.33]	 Train Time [16.18]
Round [75/200]	 Train Loss [0.3307]	 Train Acc [89.45]	 Train Time [12.02]
Round [76/200]	 Train Loss [0.2456]	 Train Acc [92.30]	 Train Time [16.86]
Round [77/200]	 Train Loss [0.2984]	 Train Acc [90.32]	 Train Time [24.83]
Round [78/200]	 Train Loss [0.2799]	 Train Acc [91.04]	 Train Time [22.53]
Round [79/200]	 Train Loss [0.2696]	 Train Acc [91.51]	 Train Time [20.91]
Round [80/200]	 Train Loss [0.2884]	 Train Acc [90.71]	 Test Loss [1.2945|1.0558]	 Test Acc [58.73(15.17)|72.96(10.98)]	 Train Time [25.84]
