Training FedPac...
Round [1/200]	Train Loss (CE|Proto) [1.2870|0.0002]	Train Acc (Rep) [73.70]	Time [18.15s]
Round [2/200]	Train Loss (CE|Proto) [1.3472|0.0004]	Train Acc (Rep) [69.12]	Time [29.21s]
Round [3/200]	Train Loss (CE|Proto) [1.2387|0.0010]	Train Acc (Rep) [72.61]	Time [25.85s]
Round [4/200]	Train Loss (CE|Proto) [1.1511|0.0020]	Train Acc (Rep) [67.92]	Time [18.38s]
Round [5/200]	Train Loss (CE|Proto) [1.2487|0.0039]	Train Acc (Rep) [62.00]	Time [16.64s]
Round [6/200]	Train Loss (CE|Proto) [1.1035|0.0065]	Train Acc (Rep) [65.60]	Time [21.82s]
Round [7/200]	Train Loss (CE|Proto) [1.1465|0.0044]	Train Acc (Rep) [68.27]	Time [29.28s]
Round [8/200]	Train Loss (CE|Proto) [1.1628|0.0047]	Train Acc (Rep) [69.44]	Time [32.64s]
Round [9/200]	Train Loss (CE|Proto) [1.3037|0.0064]	Train Acc (Rep) [66.53]	Time [30.83s]
Round [10/200]	Train Loss (CE|Proto) [1.1331|0.0072]	Train Acc (Rep) [68.02]	Time [31.79s]
Round [11/200]	Train Loss (CE|Proto) [1.0273|0.0077]	Train Acc (Rep) [71.08]	Time [27.82s]
Round [12/200]	Train Loss (CE|Proto) [1.1175|0.0062]	Train Acc (Rep) [71.26]	Time [24.86s]
Round [13/200]	Train Loss (CE|Proto) [0.9219|0.0072]	Train Acc (Rep) [77.46]	Time [18.97s]
Round [14/200]	Train Loss (CE|Proto) [1.0089|0.0087]	Train Acc (Rep) [70.95]	Time [28.27s]
Round [15/200]	Train Loss (CE|Proto) [0.8432|0.0087]	Train Acc (Rep) [76.62]	Time [33.70s]
Round [16/200]	Train Loss (CE|Proto) [1.1045|0.0078]	Train Acc (Rep) [64.64]	Time [27.12s]
Round [17/200]	Train Loss (CE|Proto) [1.0165|0.0086]	Train Acc (Rep) [68.65]	Time [25.89s]
Round [18/200]	Train Loss (CE|Proto) [0.9080|0.0080]	Train Acc (Rep) [73.89]	Time [36.64s]
Round [19/200]	Train Loss (CE|Proto) [0.9558|0.0067]	Train Acc (Rep) [73.02]	Time [25.53s]
Round [20/200]	Train Loss (CE|Proto) [1.2851|0.0072]	Train Acc (Rep) [61.72]	Test Loss (Global|Pers) [2.2392|0.7533]	Test Acc (Global|Pers) [20.51(25.79)|76.53(22.14)]	Time [11.42s]
