Training FedAvg...
Round [1/200]	 Train Loss [4.5929]	 Train Acc [2.80]	 Train Time [8.74]
Round [2/200]	 Train Loss [4.5930]	 Train Acc [2.59]	 Train Time [7.66]
Round [3/200]	 Train Loss [4.5884]	 Train Acc [3.56]	 Train Time [6.46]
Round [4/200]	 Train Loss [4.5913]	 Train Acc [2.52]	 Train Time [6.34]
Round [5/200]	 Train Loss [4.5880]	 Train Acc [3.11]	 Train Time [8.94]
Round [6/200]	 Train Loss [4.5830]	 Train Acc [3.18]	 Train Time [7.90]
Round [7/200]	 Train Loss [4.5814]	 Train Acc [3.05]	 Train Time [9.69]
Round [8/200]	 Train Loss [4.5724]	 Train Acc [3.62]	 Train Time [8.71]
Round [9/200]	 Train Loss [4.5552]	 Train Acc [4.55]	 Train Time [9.40]
Round [10/200]	 Train Loss [4.5189]	 Train Acc [4.91]	 Train Time [8.91]
Round [11/200]	 Train Loss [4.4343]	 Train Acc [5.02]	 Train Time [7.29]
Round [12/200]	 Train Loss [4.2579]	 Train Acc [6.45]	 Train Time [7.51]
Round [13/200]	 Train Loss [4.1533]	 Train Acc [6.64]	 Train Time [6.54]
Round [14/200]	 Train Loss [4.1244]	 Train Acc [6.34]	 Train Time [6.44]
Round [15/200]	 Train Loss [4.1372]	 Train Acc [6.33]	 Train Time [8.94]
Round [16/200]	 Train Loss [4.1053]	 Train Acc [7.14]	 Train Time [5.08]
Round [17/200]	 Train Loss [4.0308]	 Train Acc [7.86]	 Train Time [8.38]
Round [18/200]	 Train Loss [4.0514]	 Train Acc [7.27]	 Train Time [6.72]
Round [19/200]	 Train Loss [4.0373]	 Train Acc [7.55]	 Train Time [7.82]
Round [20/200]	 Train Loss [3.9552]	 Train Acc [8.16]	 Test Loss [4.4969|4.0317]	 Test Acc [3.42(1.84)|9.83(3.82)]	 Train Time [10.40]
Round [21/200]	 Train Loss [3.8980]	 Train Acc [9.42]	 Train Time [8.26]
Round [22/200]	 Train Loss [3.8074]	 Train Acc [10.77]	 Train Time [10.18]
Round [23/200]	 Train Loss [3.7759]	 Train Acc [10.94]	 Train Time [7.31]
Round [24/200]	 Train Loss [3.6578]	 Train Acc [13.32]	 Train Time [7.08]
Round [25/200]	 Train Loss [3.6003]	 Train Acc [13.89]	 Train Time [8.03]
Round [26/200]	 Train Loss [3.5877]	 Train Acc [13.64]	 Train Time [9.38]
Round [27/200]	 Train Loss [3.5379]	 Train Acc [14.18]	 Train Time [7.63]
Round [28/200]	 Train Loss [3.4624]	 Train Acc [15.37]	 Train Time [9.49]
Round [29/200]	 Train Loss [3.4379]	 Train Acc [16.05]	 Train Time [7.58]
Round [30/200]	 Train Loss [3.3746]	 Train Acc [16.86]	 Train Time [8.22]
Round [31/200]	 Train Loss [3.3602]	 Train Acc [17.35]	 Train Time [8.42]
Round [32/200]	 Train Loss [3.3231]	 Train Acc [17.96]	 Train Time [8.63]
Round [33/200]	 Train Loss [3.3092]	 Train Acc [17.92]	 Train Time [7.33]
Round [34/200]	 Train Loss [3.2887]	 Train Acc [18.74]	 Train Time [6.31]
Round [35/200]	 Train Loss [3.2129]	 Train Acc [19.71]	 Train Time [9.26]
Round [36/200]	 Train Loss [3.2620]	 Train Acc [18.84]	 Train Time [6.59]
Round [37/200]	 Train Loss [3.1884]	 Train Acc [20.12]	 Train Time [7.91]
Round [38/200]	 Train Loss [3.2037]	 Train Acc [19.80]	 Train Time [6.44]
Round [39/200]	 Train Loss [3.1674]	 Train Acc [21.06]	 Train Time [9.74]
Round [40/200]	 Train Loss [3.1921]	 Train Acc [20.44]	 Test Loss [4.0316|4.0400]	 Test Acc [8.22(2.16)|13.85(3.46)]	 Train Time [5.66]
Round [41/200]	 Train Loss [3.1204]	 Train Acc [22.05]	 Train Time [7.61]
Round [42/200]	 Train Loss [3.1195]	 Train Acc [21.40]	 Train Time [8.03]
Round [43/200]	 Train Loss [3.1015]	 Train Acc [21.70]	 Train Time [7.34]
Round [44/200]	 Train Loss [3.0000]	 Train Acc [23.99]	 Train Time [8.88]
Round [45/200]	 Train Loss [3.0448]	 Train Acc [22.99]	 Train Time [10.01]
Round [46/200]	 Train Loss [2.9488]	 Train Acc [24.98]	 Train Time [8.11]
Round [47/200]	 Train Loss [2.9694]	 Train Acc [24.81]	 Train Time [8.88]
Round [48/200]	 Train Loss [2.9604]	 Train Acc [24.30]	 Train Time [9.36]
Round [49/200]	 Train Loss [2.9003]	 Train Acc [25.85]	 Train Time [9.43]
Round [50/200]	 Train Loss [2.9280]	 Train Acc [25.60]	 Train Time [6.15]
Round [51/200]	 Train Loss [2.9346]	 Train Acc [25.44]	 Train Time [5.83]
Round [52/200]	 Train Loss [2.8386]	 Train Acc [27.11]	 Train Time [9.34]
Round [53/200]	 Train Loss [2.8217]	 Train Acc [27.75]	 Train Time [9.73]
Round [54/200]	 Train Loss [2.8127]	 Train Acc [27.70]	 Train Time [9.87]
Round [55/200]	 Train Loss [2.7092]	 Train Acc [30.13]	 Train Time [7.63]
Round [56/200]	 Train Loss [2.7519]	 Train Acc [29.05]	 Train Time [7.82]
Round [57/200]	 Train Loss [2.7271]	 Train Acc [29.58]	 Train Time [8.53]
Round [58/200]	 Train Loss [2.7011]	 Train Acc [30.35]	 Train Time [10.52]
Round [59/200]	 Train Loss [2.6343]	 Train Acc [31.30]	 Train Time [9.50]
Round [60/200]	 Train Loss [2.5929]	 Train Acc [32.52]	 Test Loss [3.9204|4.3727]	 Test Acc [10.24(2.73)|14.84(3.35)]	 Train Time [9.61]
Round [61/200]	 Train Loss [2.5587]	 Train Acc [33.00]	 Train Time [10.93]
Round [62/200]	 Train Loss [2.5896]	 Train Acc [32.77]	 Train Time [9.20]
Round [63/200]	 Train Loss [2.5054]	 Train Acc [35.28]	 Train Time [8.10]
