Training FedAvg...
Round [1/200]	 Train Loss [4.5959]	 Train Acc [2.83]	 Train Time [19.71]
Round [2/200]	 Train Loss [4.5934]	 Train Acc [3.52]	 Train Time [7.91]
Round [3/200]	 Train Loss [4.5902]	 Train Acc [4.00]	 Train Time [7.18]
Round [4/200]	 Train Loss [4.5894]	 Train Acc [3.85]	 Train Time [6.45]
Round [5/200]	 Train Loss [4.5860]	 Train Acc [3.94]	 Train Time [7.89]
Round [6/200]	 Train Loss [4.5790]	 Train Acc [4.37]	 Train Time [8.36]
Round [7/200]	 Train Loss [4.5767]	 Train Acc [4.75]	 Train Time [7.11]
Round [8/200]	 Train Loss [4.5700]	 Train Acc [3.75]	 Train Time [4.77]
Round [9/200]	 Train Loss [4.5514]	 Train Acc [4.28]	 Train Time [6.72]
Round [10/200]	 Train Loss [4.4972]	 Train Acc [5.28]	 Train Time [8.34]
Round [11/200]	 Train Loss [4.3900]	 Train Acc [5.92]	 Train Time [7.71]
Round [12/200]	 Train Loss [4.2183]	 Train Acc [6.83]	 Train Time [7.19]
Round [13/200]	 Train Loss [4.1602]	 Train Acc [6.93]	 Train Time [7.76]
Round [14/200]	 Train Loss [4.1144]	 Train Acc [6.80]	 Train Time [7.79]
Round [15/200]	 Train Loss [4.0281]	 Train Acc [7.37]	 Train Time [7.67]
Round [16/200]	 Train Loss [3.9604]	 Train Acc [9.02]	 Train Time [6.57]
Round [17/200]	 Train Loss [3.9358]	 Train Acc [8.77]	 Train Time [12.79]
Round [18/200]	 Train Loss [3.9277]	 Train Acc [8.84]	 Train Time [7.85]
Round [19/200]	 Train Loss [3.8697]	 Train Acc [9.69]	 Train Time [7.28]
Round [20/200]	 Train Loss [3.8154]	 Train Acc [10.62]	 Test Loss [4.4910|4.1065]	 Test Acc [2.35(1.32)|9.35(3.43)]	 Train Time [7.39]
Round [21/200]	 Train Loss [3.7967]	 Train Acc [10.69]	 Train Time [7.34]
Round [22/200]	 Train Loss [3.7702]	 Train Acc [11.08]	 Train Time [7.47]
Round [23/200]	 Train Loss [3.7878]	 Train Acc [11.12]	 Train Time [6.96]
Round [24/200]	 Train Loss [3.7204]	 Train Acc [12.08]	 Train Time [8.44]
Round [25/200]	 Train Loss [3.6815]	 Train Acc [12.52]	 Train Time [7.12]
Round [26/200]	 Train Loss [3.6448]	 Train Acc [12.82]	 Train Time [7.04]
Round [27/200]	 Train Loss [3.6200]	 Train Acc [13.28]	 Train Time [7.95]
Round [28/200]	 Train Loss [3.5700]	 Train Acc [14.22]	 Train Time [8.19]
Round [29/200]	 Train Loss [3.5217]	 Train Acc [14.32]	 Train Time [8.49]
Round [30/200]	 Train Loss [3.4729]	 Train Acc [15.23]	 Train Time [9.01]
Round [31/200]	 Train Loss [3.4081]	 Train Acc [16.76]	 Train Time [7.12]
Round [32/200]	 Train Loss [3.4135]	 Train Acc [16.16]	 Train Time [7.90]
Round [33/200]	 Train Loss [3.3820]	 Train Acc [16.65]	 Train Time [8.29]
Round [34/200]	 Train Loss [3.3008]	 Train Acc [18.82]	 Train Time [6.25]
Round [35/200]	 Train Loss [3.3356]	 Train Acc [18.38]	 Train Time [7.93]
Round [36/200]	 Train Loss [3.3551]	 Train Acc [17.51]	 Train Time [7.38]
Round [37/200]	 Train Loss [3.2706]	 Train Acc [19.09]	 Train Time [7.49]
Round [38/200]	 Train Loss [3.2872]	 Train Acc [18.17]	 Train Time [7.76]
Round [39/200]	 Train Loss [3.3159]	 Train Acc [17.12]	 Train Time [6.79]
Round [40/200]	 Train Loss [3.2083]	 Train Acc [20.17]	 Test Loss [4.1075|4.0044]	 Test Acc [7.63(2.34)|13.71(3.58)]	 Train Time [7.40]
Round [41/200]	 Train Loss [3.2406]	 Train Acc [19.62]	 Train Time [8.69]
Round [42/200]	 Train Loss [3.1868]	 Train Acc [20.35]	 Train Time [7.31]
Round [43/200]	 Train Loss [3.1734]	 Train Acc [20.46]	 Train Time [7.69]
Round [44/200]	 Train Loss [3.1437]	 Train Acc [21.24]	 Train Time [5.13]
Round [45/200]	 Train Loss [3.1234]	 Train Acc [21.55]	 Train Time [6.22]
Round [46/200]	 Train Loss [3.1394]	 Train Acc [21.17]	 Train Time [6.50]
Round [47/200]	 Train Loss [3.0890]	 Train Acc [22.21]	 Train Time [6.86]
Round [48/200]	 Train Loss [3.1140]	 Train Acc [22.47]	 Train Time [7.15]
Round [49/200]	 Train Loss [3.0777]	 Train Acc [22.77]	 Train Time [10.60]
Round [50/200]	 Train Loss [3.0147]	 Train Acc [23.72]	 Train Time [7.56]
Round [51/200]	 Train Loss [3.0019]	 Train Acc [23.65]	 Train Time [6.40]
Round [52/200]	 Train Loss [3.0288]	 Train Acc [23.50]	 Train Time [9.23]
Round [53/200]	 Train Loss [2.9810]	 Train Acc [24.82]	 Train Time [7.38]
Round [54/200]	 Train Loss [2.9413]	 Train Acc [25.37]	 Train Time [8.07]
Round [55/200]	 Train Loss [2.9671]	 Train Acc [25.18]	 Train Time [8.94]
Round [56/200]	 Train Loss [2.9505]	 Train Acc [25.35]	 Train Time [5.62]
Round [57/200]	 Train Loss [2.9186]	 Train Acc [24.97]	 Train Time [8.24]
Round [58/200]	 Train Loss [2.8636]	 Train Acc [27.02]	 Train Time [7.07]
Round [59/200]	 Train Loss [2.8749]	 Train Acc [26.12]	 Train Time [7.99]
Round [60/200]	 Train Loss [2.7248]	 Train Acc [29.87]	 Test Loss [3.9780|4.2354]	 Test Acc [9.81(2.89)|14.41(3.40)]	 Train Time [6.87]
Round [61/200]	 Train Loss [2.7824]	 Train Acc [28.91]	 Train Time [8.83]
Round [62/200]	 Train Loss [2.7651]	 Train Acc [28.91]	 Train Time [6.84]
Round [63/200]	 Train Loss [2.7812]	 Train Acc [28.65]	 Train Time [7.85]
Round [64/200]	 Train Loss [2.7266]	 Train Acc [29.89]	 Train Time [8.80]
Round [65/200]	 Train Loss [2.6123]	 Train Acc [32.36]	 Train Time [6.47]
Round [66/200]	 Train Loss [2.7282]	 Train Acc [29.57]	 Train Time [8.16]
Round [67/200]	 Train Loss [2.6215]	 Train Acc [31.88]	 Train Time [10.34]
Round [68/200]	 Train Loss [2.5727]	 Train Acc [33.47]	 Train Time [6.62]
Round [69/200]	 Train Loss [2.5751]	 Train Acc [33.26]	 Train Time [9.50]
Round [70/200]	 Train Loss [2.5825]	 Train Acc [32.56]	 Train Time [7.69]
Round [71/200]	 Train Loss [2.5323]	 Train Acc [34.19]	 Train Time [6.61]
Round [72/200]	 Train Loss [2.5373]	 Train Acc [34.11]	 Train Time [8.22]
Round [73/200]	 Train Loss [2.4556]	 Train Acc [36.01]	 Train Time [7.15]
Round [74/200]	 Train Loss [2.4994]	 Train Acc [36.05]	 Train Time [5.95]
Round [75/200]	 Train Loss [2.4104]	 Train Acc [37.02]	 Train Time [6.56]
Round [76/200]	 Train Loss [2.4424]	 Train Acc [36.78]	 Train Time [8.84]
Round [77/200]	 Train Loss [2.3704]	 Train Acc [38.40]	 Train Time [7.80]
Round [78/200]	 Train Loss [2.4205]	 Train Acc [36.85]	 Train Time [6.75]
Round [79/200]	 Train Loss [2.3723]	 Train Acc [38.05]	 Train Time [8.40]
Round [80/200]	 Train Loss [2.2567]	 Train Acc [41.06]	 Test Loss [3.9400|4.6984]	 Test Acc [11.12(2.71)|15.26(3.33)]	 Train Time [7.64]
Round [81/200]	 Train Loss [2.2578]	 Train Acc [41.40]	 Train Time [7.45]
Round [82/200]	 Train Loss [2.3067]	 Train Acc [40.06]	 Train Time [9.93]
Round [83/200]	 Train Loss [2.2282]	 Train Acc [41.70]	 Train Time [9.72]
Round [84/200]	 Train Loss [2.2099]	 Train Acc [41.94]	 Train Time [6.85]
Round [85/200]	 Train Loss [2.1743]	 Train Acc [43.59]	 Train Time [8.04]
Round [86/200]	 Train Loss [2.2591]	 Train Acc [41.43]	 Train Time [8.95]
Round [87/200]	 Train Loss [2.1212]	 Train Acc [44.79]	 Train Time [6.52]
Round [88/200]	 Train Loss [2.1316]	 Train Acc [44.11]	 Train Time [9.51]
Round [89/200]	 Train Loss [2.0197]	 Train Acc [47.31]	 Train Time [8.54]
Round [90/200]	 Train Loss [2.1366]	 Train Acc [44.44]	 Train Time [7.45]
Round [91/200]	 Train Loss [2.0158]	 Train Acc [47.40]	 Train Time [6.94]
Round [92/200]	 Train Loss [2.1320]	 Train Acc [44.84]	 Train Time [7.22]
Round [93/200]	 Train Loss [2.0262]	 Train Acc [46.82]	 Train Time [6.96]
Round [94/200]	 Train Loss [1.9161]	 Train Acc [49.92]	 Train Time [8.48]
Round [95/200]	 Train Loss [1.9493]	 Train Acc [49.10]	 Train Time [5.24]
Round [96/200]	 Train Loss [2.0142]	 Train Acc [47.93]	 Train Time [6.92]
Round [97/200]	 Train Loss [1.8115]	 Train Acc [53.02]	 Train Time [5.76]
Round [98/200]	 Train Loss [1.9176]	 Train Acc [50.58]	 Train Time [8.52]
Round [99/200]	 Train Loss [1.9535]	 Train Acc [49.61]	 Train Time [5.62]
Round [100/200]	 Train Loss [1.9596]	 Train Acc [48.42]	 Test Loss [4.0035|5.1520]	 Test Acc [13.23(3.34)|16.09(3.34)]	 Train Time [7.52]
Round [101/200]	 Train Loss [1.8848]	 Train Acc [51.50]	 Train Time [6.87]
Round [102/200]	 Train Loss [1.9861]	 Train Acc [48.86]	 Train Time [6.75]
Round [103/200]	 Train Loss [1.8513]	 Train Acc [52.10]	 Train Time [7.87]
Round [104/200]	 Train Loss [1.8578]	 Train Acc [52.07]	 Train Time [7.29]
Round [105/200]	 Train Loss [1.7879]	 Train Acc [53.82]	 Train Time [8.67]
Round [106/200]	 Train Loss [1.7297]	 Train Acc [54.90]	 Train Time [6.54]
Round [107/200]	 Train Loss [1.7725]	 Train Acc [54.20]	 Train Time [8.85]
Round [108/200]	 Train Loss [1.7081]	 Train Acc [55.79]	 Train Time [8.08]
Round [109/200]	 Train Loss [1.6111]	 Train Acc [57.97]	 Train Time [6.71]
Round [110/200]	 Train Loss [1.7157]	 Train Acc [55.94]	 Train Time [7.64]
Round [111/200]	 Train Loss [1.7085]	 Train Acc [55.65]	 Train Time [7.19]
Round [112/200]	 Train Loss [1.6662]	 Train Acc [56.30]	 Train Time [6.18]
Round [113/200]	 Train Loss [1.8069]	 Train Acc [54.07]	 Train Time [7.12]
Round [114/200]	 Train Loss [1.6267]	 Train Acc [58.00]	 Train Time [10.32]
Round [115/200]	 Train Loss [1.5354]	 Train Acc [59.63]	 Train Time [8.82]
Round [116/200]	 Train Loss [1.7841]	 Train Acc [54.19]	 Train Time [8.07]
Round [117/200]	 Train Loss [1.5844]	 Train Acc [59.12]	 Train Time [10.69]
Round [118/200]	 Train Loss [1.6357]	 Train Acc [57.60]	 Train Time [6.29]
Round [119/200]	 Train Loss [1.4086]	 Train Acc [63.07]	 Train Time [4.55]
Round [120/200]	 Train Loss [1.4834]	 Train Acc [62.02]	 Test Loss [4.0691|5.6128]	 Test Acc [14.19(3.14)|16.98(3.12)]	 Train Time [6.36]
Round [121/200]	 Train Loss [1.5391]	 Train Acc [60.25]	 Train Time [6.34]
Round [122/200]	 Train Loss [1.5387]	 Train Acc [60.43]	 Train Time [6.61]
Round [123/200]	 Train Loss [1.5577]	 Train Acc [60.02]	 Train Time [6.58]
Round [124/200]	 Train Loss [1.3596]	 Train Acc [64.49]	 Train Time [8.26]
Round [125/200]	 Train Loss [1.3735]	 Train Acc [64.49]	 Train Time [7.41]
Round [126/200]	 Train Loss [1.5290]	 Train Acc [60.81]	 Train Time [9.65]
Round [127/200]	 Train Loss [1.4025]	 Train Acc [64.17]	 Train Time [7.12]
Round [128/200]	 Train Loss [1.4436]	 Train Acc [62.73]	 Train Time [7.43]
Round [129/200]	 Train Loss [1.3025]	 Train Acc [66.34]	 Train Time [5.34]
Round [130/200]	 Train Loss [1.4088]	 Train Acc [63.61]	 Train Time [7.97]
Round [131/200]	 Train Loss [1.4687]	 Train Acc [62.52]	 Train Time [9.77]
Round [132/200]	 Train Loss [1.4144]	 Train Acc [63.48]	 Train Time [6.91]
Round [133/200]	 Train Loss [1.3426]	 Train Acc [65.92]	 Train Time [8.18]
Round [134/200]	 Train Loss [1.2622]	 Train Acc [67.61]	 Train Time [8.05]
Round [135/200]	 Train Loss [1.4074]	 Train Acc [64.46]	 Train Time [7.85]
Round [136/200]	 Train Loss [1.2394]	 Train Acc [67.50]	 Train Time [5.59]
Round [137/200]	 Train Loss [1.2970]	 Train Acc [66.74]	 Train Time [7.72]
Round [138/200]	 Train Loss [1.2391]	 Train Acc [68.18]	 Train Time [8.95]
Round [139/200]	 Train Loss [1.2143]	 Train Acc [68.65]	 Train Time [5.32]
Round [140/200]	 Train Loss [1.2116]	 Train Acc [68.52]	 Test Loss [4.1059|5.9891]	 Test Acc [14.65(3.24)|17.39(3.10)]	 Train Time [6.42]
Round [141/200]	 Train Loss [1.4012]	 Train Acc [64.36]	 Train Time [8.36]
Round [142/200]	 Train Loss [1.2276]	 Train Acc [68.21]	 Train Time [7.26]
Round [143/200]	 Train Loss [1.2705]	 Train Acc [67.32]	 Train Time [6.44]
Round [144/200]	 Train Loss [1.2865]	 Train Acc [67.25]	 Train Time [8.03]
Round [145/200]	 Train Loss [1.2865]	 Train Acc [67.24]	 Train Time [7.31]
Round [146/200]	 Train Loss [1.0500]	 Train Acc [72.82]	 Train Time [5.97]
Round [147/200]	 Train Loss [1.0986]	 Train Acc [71.53]	 Train Time [7.02]
Round [148/200]	 Train Loss [1.2016]	 Train Acc [69.08]	 Train Time [5.13]
Round [149/200]	 Train Loss [1.1361]	 Train Acc [70.77]	 Train Time [7.26]
Round [150/200]	 Train Loss [1.1618]	 Train Acc [70.48]	 Train Time [5.81]
Round [151/200]	 Train Loss [1.1878]	 Train Acc [69.34]	 Train Time [9.03]
Round [152/200]	 Train Loss [1.2288]	 Train Acc [67.98]	 Train Time [8.22]
Round [153/200]	 Train Loss [1.1005]	 Train Acc [71.87]	 Train Time [7.27]
Round [154/200]	 Train Loss [1.1167]	 Train Acc [71.05]	 Train Time [6.36]
Round [155/200]	 Train Loss [1.2931]	 Train Acc [67.10]	 Train Time [7.79]
Round [156/200]	 Train Loss [1.1068]	 Train Acc [71.49]	 Train Time [10.49]
Round [157/200]	 Train Loss [1.2151]	 Train Acc [68.97]	 Train Time [8.03]
Round [158/200]	 Train Loss [1.1569]	 Train Acc [70.60]	 Train Time [6.20]
Round [159/200]	 Train Loss [1.2183]	 Train Acc [68.91]	 Train Time [6.80]
Round [160/200]	 Train Loss [1.1609]	 Train Acc [70.21]	 Test Loss [4.2677|6.1508]	 Test Acc [15.44(3.46)|17.75(3.48)]	 Train Time [8.42]
Round [161/200]	 Train Loss [1.1064]	 Train Acc [71.69]	 Train Time [7.31]
Round [162/200]	 Train Loss [1.1102]	 Train Acc [71.63]	 Train Time [6.81]
Round [163/200]	 Train Loss [1.0345]	 Train Acc [73.18]	 Train Time [7.61]
Round [164/200]	 Train Loss [1.2058]	 Train Acc [69.29]	 Train Time [5.69]
Round [165/200]	 Train Loss [1.0989]	 Train Acc [71.50]	 Train Time [7.62]
Round [166/200]	 Train Loss [1.1038]	 Train Acc [71.38]	 Train Time [8.74]
Round [167/200]	 Train Loss [1.0357]	 Train Acc [73.29]	 Train Time [6.79]
Round [168/200]	 Train Loss [1.0436]	 Train Acc [72.96]	 Train Time [9.22]
Round [169/200]	 Train Loss [1.0996]	 Train Acc [72.01]	 Train Time [6.40]
Round [170/200]	 Train Loss [1.0956]	 Train Acc [71.39]	 Train Time [7.55]
Round [171/200]	 Train Loss [1.0464]	 Train Acc [73.57]	 Train Time [3.77]
Round [172/200]	 Train Loss [1.1016]	 Train Acc [71.61]	 Train Time [8.78]
Round [173/200]	 Train Loss [1.0419]	 Train Acc [73.43]	 Train Time [8.63]
Round [174/200]	 Train Loss [1.0846]	 Train Acc [71.95]	 Train Time [7.72]
Round [175/200]	 Train Loss [0.9324]	 Train Acc [76.05]	 Train Time [5.50]
Round [176/200]	 Train Loss [1.0323]	 Train Acc [73.42]	 Train Time [6.32]
Round [177/200]	 Train Loss [1.1028]	 Train Acc [71.46]	 Train Time [4.65]
