Training FedAvg...
Round [1/200]	 Train Loss [1.7671]	 Train Acc [39.77]	 Train Time [21.35]
Round [2/200]	 Train Loss [1.5860]	 Train Acc [43.06]	 Train Time [15.08]
Round [3/200]	 Train Loss [1.5411]	 Train Acc [46.14]	 Train Time [15.35]
Round [4/200]	 Train Loss [1.3676]	 Train Acc [50.21]	 Train Time [15.42]
Round [5/200]	 Train Loss [1.3100]	 Train Acc [53.81]	 Train Time [11.94]
Round [6/200]	 Train Loss [1.2242]	 Train Acc [55.01]	 Train Time [13.57]
Round [7/200]	 Train Loss [1.2218]	 Train Acc [56.45]	 Train Time [16.20]
Round [8/200]	 Train Loss [1.2188]	 Train Acc [56.84]	 Train Time [10.59]
Round [9/200]	 Train Loss [1.2320]	 Train Acc [55.65]	 Train Time [16.18]
Round [10/200]	 Train Loss [1.2325]	 Train Acc [56.40]	 Train Time [10.65]
Round [11/200]	 Train Loss [1.1032]	 Train Acc [61.12]	 Train Time [9.56]
Round [12/200]	 Train Loss [1.0564]	 Train Acc [62.60]	 Train Time [16.68]
Round [13/200]	 Train Loss [1.1689]	 Train Acc [58.25]	 Train Time [17.23]
Round [14/200]	 Train Loss [1.0229]	 Train Acc [64.36]	 Train Time [15.82]
Round [15/200]	 Train Loss [1.0662]	 Train Acc [62.41]	 Train Time [15.24]
Round [16/200]	 Train Loss [1.0236]	 Train Acc [63.37]	 Train Time [12.28]
Round [17/200]	 Train Loss [1.0997]	 Train Acc [61.25]	 Train Time [12.71]
Round [18/200]	 Train Loss [1.0130]	 Train Acc [63.80]	 Train Time [15.70]
Round [19/200]	 Train Loss [0.9486]	 Train Acc [66.52]	 Train Time [14.13]
Round [20/200]	 Train Loss [0.9417]	 Train Acc [67.23]	 Test Loss [1.6154|0.9988]	 Test Acc [41.21(12.80)|64.71(9.93)]	 Train Time [15.86]
Round [21/200]	 Train Loss [0.9541]	 Train Acc [66.75]	 Train Time [16.32]
Round [22/200]	 Train Loss [0.9162]	 Train Acc [67.84]	 Train Time [16.67]
Round [23/200]	 Train Loss [0.9013]	 Train Acc [68.53]	 Train Time [18.48]
Round [24/200]	 Train Loss [0.8825]	 Train Acc [69.25]	 Train Time [13.44]
Round [25/200]	 Train Loss [0.9050]	 Train Acc [68.07]	 Train Time [11.06]
Round [26/200]	 Train Loss [0.7984]	 Train Acc [71.80]	 Train Time [13.03]
Round [27/200]	 Train Loss [0.8888]	 Train Acc [68.69]	 Train Time [13.28]
Round [28/200]	 Train Loss [0.8536]	 Train Acc [69.85]	 Train Time [12.32]
Round [29/200]	 Train Loss [0.8634]	 Train Acc [69.30]	 Train Time [16.94]
Round [30/200]	 Train Loss [0.8220]	 Train Acc [71.08]	 Train Time [16.74]
Round [31/200]	 Train Loss [0.8873]	 Train Acc [68.23]	 Train Time [10.64]
Round [32/200]	 Train Loss [0.8043]	 Train Acc [72.18]	 Train Time [14.12]
Round [33/200]	 Train Loss [0.8197]	 Train Acc [70.80]	 Train Time [16.11]
Round [34/200]	 Train Loss [0.7529]	 Train Acc [73.66]	 Train Time [16.20]
Round [35/200]	 Train Loss [0.7951]	 Train Acc [71.73]	 Train Time [12.69]
Round [36/200]	 Train Loss [0.7336]	 Train Acc [74.48]	 Train Time [16.99]
Round [37/200]	 Train Loss [0.7345]	 Train Acc [74.20]	 Train Time [15.13]
Round [38/200]	 Train Loss [0.7689]	 Train Acc [73.16]	 Train Time [12.54]
Round [39/200]	 Train Loss [0.7227]	 Train Acc [74.67]	 Train Time [13.45]
Round [40/200]	 Train Loss [0.7381]	 Train Acc [74.57]	 Test Loss [1.4651|0.9642]	 Test Acc [48.07(13.73)|68.69(9.20)]	 Train Time [14.46]
Round [41/200]	 Train Loss [0.7210]	 Train Acc [74.63]	 Train Time [11.52]
Round [42/200]	 Train Loss [0.6358]	 Train Acc [78.06]	 Train Time [21.11]
Round [43/200]	 Train Loss [0.6634]	 Train Acc [76.82]	 Train Time [16.50]
Round [44/200]	 Train Loss [0.6327]	 Train Acc [78.33]	 Train Time [14.81]
Round [45/200]	 Train Loss [0.6190]	 Train Acc [78.77]	 Train Time [13.70]
Round [46/200]	 Train Loss [0.6156]	 Train Acc [78.98]	 Train Time [14.99]
Round [47/200]	 Train Loss [0.5800]	 Train Acc [80.27]	 Train Time [15.79]
Round [48/200]	 Train Loss [0.5854]	 Train Acc [80.57]	 Train Time [12.27]
Round [49/200]	 Train Loss [0.5466]	 Train Acc [81.35]	 Train Time [14.80]
Round [50/200]	 Train Loss [0.5667]	 Train Acc [81.01]	 Train Time [14.14]
Round [51/200]	 Train Loss [0.5507]	 Train Acc [81.26]	 Train Time [13.58]
Round [52/200]	 Train Loss [0.5851]	 Train Acc [80.58]	 Train Time [13.48]
Round [53/200]	 Train Loss [0.4974]	 Train Acc [83.36]	 Train Time [16.98]
Round [54/200]	 Train Loss [0.5375]	 Train Acc [82.13]	 Train Time [18.02]
Round [55/200]	 Train Loss [0.4820]	 Train Acc [83.99]	 Train Time [16.95]
