Training pFedFDA...
Round [1/200]	 Train Loss [4.2547]	 Train Acc [6.01]	 Train Time [10.33]
Round [2/200]	 Train Loss [3.8540]	 Train Acc [8.30]	 Train Time [9.16]
Round [3/200]	 Train Loss [3.7008]	 Train Acc [8.53]	 Train Time [9.65]
Round [4/200]	 Train Loss [3.5555]	 Train Acc [10.64]	 Train Time [7.89]
Round [5/200]	 Train Loss [3.4768]	 Train Acc [11.83]	 Train Time [10.24]
Round [6/200]	 Train Loss [3.4598]	 Train Acc [12.32]	 Train Time [9.92]
Round [7/200]	 Train Loss [3.2849]	 Train Acc [15.33]	 Train Time [11.50]
Round [8/200]	 Train Loss [3.2967]	 Train Acc [14.82]	 Train Time [10.53]
Round [9/200]	 Train Loss [3.2613]	 Train Acc [15.88]	 Train Time [11.80]
Round [10/200]	 Train Loss [3.1993]	 Train Acc [16.36]	 Train Time [12.68]
Round [11/200]	 Train Loss [3.2008]	 Train Acc [16.93]	 Train Time [14.72]
Round [12/200]	 Train Loss [3.1711]	 Train Acc [18.02]	 Train Time [12.29]
Round [13/200]	 Train Loss [3.1409]	 Train Acc [17.73]	 Train Time [9.71]
Round [14/200]	 Train Loss [3.1067]	 Train Acc [18.64]	 Train Time [12.23]
Round [15/200]	 Train Loss [3.0770]	 Train Acc [19.38]	 Train Time [14.35]
Round [16/200]	 Train Loss [3.0293]	 Train Acc [19.83]	 Train Time [11.39]
Round [17/200]	 Train Loss [3.0577]	 Train Acc [19.84]	 Train Time [13.53]
Round [18/200]	 Train Loss [3.0361]	 Train Acc [20.28]	 Train Time [17.91]
Round [19/200]	 Train Loss [3.0126]	 Train Acc [20.66]	 Train Time [13.35]
KL Divergence: μ=0.2200
Round [20/200]	 Train Loss [3.0194]	 Train Acc [20.82]	 Test Loss [3.6940]	 Test Acc [18.43(3.64)]	 Train Time [13.74]
Round [21/200]	 Train Loss [2.9453]	 Train Acc [22.43]	 Train Time [14.06]
Round [22/200]	 Train Loss [2.9823]	 Train Acc [21.83]	 Train Time [11.74]
Round [23/200]	 Train Loss [2.9858]	 Train Acc [20.77]	 Train Time [9.93]
Round [24/200]	 Train Loss [2.9190]	 Train Acc [22.75]	 Train Time [12.06]
Round [25/200]	 Train Loss [2.8952]	 Train Acc [23.95]	 Train Time [6.19]
Round [26/200]	 Train Loss [2.9318]	 Train Acc [22.28]	 Train Time [10.88]
Round [27/200]	 Train Loss [2.8801]	 Train Acc [23.67]	 Train Time [10.76]
Round [28/200]	 Train Loss [2.8498]	 Train Acc [24.77]	 Train Time [13.88]
Round [29/200]	 Train Loss [2.8158]	 Train Acc [24.63]	 Train Time [13.35]
Round [30/200]	 Train Loss [2.8104]	 Train Acc [24.88]	 Train Time [14.08]
Round [31/200]	 Train Loss [2.7978]	 Train Acc [24.84]	 Train Time [15.39]
Round [32/200]	 Train Loss [2.7990]	 Train Acc [25.54]	 Train Time [14.55]
Round [33/200]	 Train Loss [2.7607]	 Train Acc [26.17]	 Train Time [14.73]
Round [34/200]	 Train Loss [2.7282]	 Train Acc [27.22]	 Train Time [16.16]
Round [35/200]	 Train Loss [2.7032]	 Train Acc [27.53]	 Train Time [14.54]
Round [36/200]	 Train Loss [2.6392]	 Train Acc [28.89]	 Train Time [12.51]
Round [37/200]	 Train Loss [2.7225]	 Train Acc [27.47]	 Train Time [9.12]
Round [38/200]	 Train Loss [2.6189]	 Train Acc [29.20]	 Train Time [15.33]
Round [39/200]	 Train Loss [2.5760]	 Train Acc [30.49]	 Train Time [13.16]
KL Divergence: μ=0.4710
Round [40/200]	 Train Loss [2.5580]	 Train Acc [31.27]	 Test Loss [3.4513]	 Test Acc [23.65(3.53)]	 Train Time [13.96]
Round [41/200]	 Train Loss [2.5545]	 Train Acc [30.90]	 Train Time [13.39]
Round [42/200]	 Train Loss [2.5468]	 Train Acc [31.08]	 Train Time [14.65]
Round [43/200]	 Train Loss [2.5260]	 Train Acc [32.00]	 Train Time [11.57]
Round [44/200]	 Train Loss [2.4365]	 Train Acc [33.25]	 Train Time [12.07]
Round [45/200]	 Train Loss [2.4379]	 Train Acc [33.98]	 Train Time [11.76]
Round [46/200]	 Train Loss [2.4220]	 Train Acc [33.80]	 Train Time [12.46]
Round [47/200]	 Train Loss [2.3761]	 Train Acc [35.34]	 Train Time [18.51]
Round [48/200]	 Train Loss [2.3795]	 Train Acc [35.03]	 Train Time [14.99]
