Training FedPac...
Round [1/200]	Train Loss (CE|Proto) [4.4880|0.0002]	Train Acc (Rep) [8.36]	Time [96.91s]
Round [2/200]	Train Loss (CE|Proto) [4.4830|0.0003]	Train Acc (Rep) [7.33]	Time [64.70s]
Round [3/200]	Train Loss (CE|Proto) [4.4457|0.0009]	Train Acc (Rep) [8.81]	Time [81.84s]
Round [4/200]	Train Loss (CE|Proto) [4.3432|0.0085]	Train Acc (Rep) [7.73]	Time [44.88s]
Round [5/200]	Train Loss (CE|Proto) [4.0206|0.0090]	Train Acc (Rep) [8.61]	Time [137.22s]
Round [6/200]	Train Loss (CE|Proto) [3.9581|0.0063]	Train Acc (Rep) [9.10]	Time [74.91s]
Round [7/200]	Train Loss (CE|Proto) [3.9733|0.0058]	Train Acc (Rep) [8.86]	Time [76.43s]
Round [8/200]	Train Loss (CE|Proto) [3.9570|0.0054]	Train Acc (Rep) [8.91]	Time [64.16s]
Round [9/200]	Train Loss (CE|Proto) [3.9372|0.0058]	Train Acc (Rep) [8.89]	Time [44.94s]
Round [10/200]	Train Loss (CE|Proto) [3.9332|0.0056]	Train Acc (Rep) [8.26]	Time [103.71s]
Round [11/200]	Train Loss (CE|Proto) [3.9529|0.0053]	Train Acc (Rep) [8.85]	Time [89.60s]
Round [12/200]	Train Loss (CE|Proto) [3.9578|0.0054]	Train Acc (Rep) [8.85]	Time [64.46s]
Round [13/200]	Train Loss (CE|Proto) [3.9398|0.0055]	Train Acc (Rep) [8.83]	Time [30.50s]
Round [14/200]	Train Loss (CE|Proto) [3.9713|0.0053]	Train Acc (Rep) [8.24]	Time [127.89s]
Round [15/200]	Train Loss (CE|Proto) [3.9783|0.0051]	Train Acc (Rep) [8.74]	Time [26.75s]
Round [16/200]	Train Loss (CE|Proto) [3.9758|0.0047]	Train Acc (Rep) [8.62]	Time [157.32s]
Round [17/200]	Train Loss (CE|Proto) [3.9503|0.0052]	Train Acc (Rep) [9.27]	Time [41.09s]
Round [18/200]	Train Loss (CE|Proto) [3.9565|0.0049]	Train Acc (Rep) [8.52]	Time [52.78s]
Round [19/200]	Train Loss (CE|Proto) [3.9736|0.0052]	Train Acc (Rep) [8.05]	Time [45.19s]
Round [20/200]	Train Loss (CE|Proto) [3.9726|0.0059]	Train Acc (Rep) [8.59]	Test Loss (Global|Pers) [4.6158|4.0774]	Test Acc (Global|Pers) [1.08(1.78)|8.51(5.72)]	Time [102.08s]
Round [21/200]	Train Loss (CE|Proto) [3.9491|0.0068]	Train Acc (Rep) [8.86]	Time [44.83s]
Round [22/200]	Train Loss (CE|Proto) [3.9244|0.0065]	Train Acc (Rep) [8.71]	Time [75.93s]
Round [23/200]	Train Loss (CE|Proto) [3.9523|0.0061]	Train Acc (Rep) [8.29]	Time [168.95s]
Round [24/200]	Train Loss (CE|Proto) [3.9526|0.0075]	Train Acc (Rep) [8.72]	Time [64.27s]
Round [25/200]	Train Loss (CE|Proto) [3.9286|0.0079]	Train Acc (Rep) [8.64]	Time [70.22s]
Round [26/200]	Train Loss (CE|Proto) [3.8813|0.0103]	Train Acc (Rep) [10.15]	Time [95.84s]
Round [27/200]	Train Loss (CE|Proto) [3.8898|0.0119]	Train Acc (Rep) [10.41]	Time [87.86s]
Round [28/200]	Train Loss (CE|Proto) [3.8982|0.0144]	Train Acc (Rep) [9.49]	Time [44.41s]
Round [29/200]	Train Loss (CE|Proto) [3.8657|0.0175]	Train Acc (Rep) [10.62]	Time [112.40s]
Round [30/200]	Train Loss (CE|Proto) [3.8551|0.0203]	Train Acc (Rep) [10.59]	Time [96.48s]
Round [31/200]	Train Loss (CE|Proto) [3.8403|0.0217]	Train Acc (Rep) [10.76]	Time [75.73s]
Round [32/200]	Train Loss (CE|Proto) [3.8110|0.0228]	Train Acc (Rep) [11.56]	Time [112.34s]
Round [33/200]	Train Loss (CE|Proto) [3.8346|0.0241]	Train Acc (Rep) [11.20]	Time [95.13s]
Round [34/200]	Train Loss (CE|Proto) [3.8264|0.0256]	Train Acc (Rep) [11.81]	Time [127.29s]
Round [35/200]	Train Loss (CE|Proto) [3.7875|0.0267]	Train Acc (Rep) [12.34]	Time [147.08s]
Round [36/200]	Train Loss (CE|Proto) [3.8200|0.0263]	Train Acc (Rep) [12.07]	Time [58.40s]
Round [37/200]	Train Loss (CE|Proto) [3.7965|0.0270]	Train Acc (Rep) [12.41]	Time [137.60s]
Round [38/200]	Train Loss (CE|Proto) [3.7537|0.0277]	Train Acc (Rep) [12.17]	Time [102.90s]
Round [39/200]	Train Loss (CE|Proto) [3.7657|0.0279]	Train Acc (Rep) [12.89]	Time [70.29s]
Round [40/200]	Train Loss (CE|Proto) [3.7634|0.0295]	Train Acc (Rep) [12.72]	Test Loss (Global|Pers) [4.5793|3.9321]	Test Acc (Global|Pers) [2.91(3.19)|10.87(6.20)]	Time [65.17s]
Round [41/200]	Train Loss (CE|Proto) [3.7701|0.0297]	Train Acc (Rep) [12.49]	Time [27.31s]
Round [42/200]	Train Loss (CE|Proto) [3.7672|0.0332]	Train Acc (Rep) [12.03]	Time [179.62s]
Round [43/200]	Train Loss (CE|Proto) [3.7022|0.0342]	Train Acc (Rep) [13.76]	Time [65.58s]
Round [44/200]	Train Loss (CE|Proto) [3.7346|0.0345]	Train Acc (Rep) [13.07]	Time [54.31s]
Round [45/200]	Train Loss (CE|Proto) [3.6781|0.0358]	Train Acc (Rep) [14.41]	Time [69.93s]
Round [46/200]	Train Loss (CE|Proto) [3.7049|0.0380]	Train Acc (Rep) [13.73]	Time [82.57s]
Round [47/200]	Train Loss (CE|Proto) [3.6771|0.0419]	Train Acc (Rep) [14.83]	Time [88.61s]
Round [48/200]	Train Loss (CE|Proto) [3.6671|0.0425]	Train Acc (Rep) [14.87]	Time [111.75s]
Round [49/200]	Train Loss (CE|Proto) [3.6798|0.0451]	Train Acc (Rep) [14.01]	Time [87.98s]
Round [50/200]	Train Loss (CE|Proto) [3.6650|0.0480]	Train Acc (Rep) [14.42]	Time [112.31s]
Round [51/200]	Train Loss (CE|Proto) [3.6687|0.0510]	Train Acc (Rep) [14.48]	Time [58.94s]
Round [52/200]	Train Loss (CE|Proto) [3.6387|0.0526]	Train Acc (Rep) [15.29]	Time [113.07s]
Round [53/200]	Train Loss (CE|Proto) [3.5859|0.0546]	Train Acc (Rep) [16.15]	Time [65.20s]
Round [54/200]	Train Loss (CE|Proto) [3.6320|0.0561]	Train Acc (Rep) [15.16]	Time [88.31s]
Round [55/200]	Train Loss (CE|Proto) [3.6172|0.0580]	Train Acc (Rep) [15.05]	Time [58.90s]
Round [56/200]	Train Loss (CE|Proto) [3.5919|0.0597]	Train Acc (Rep) [16.04]	Time [103.34s]
Round [57/200]	Train Loss (CE|Proto) [3.6099|0.0600]	Train Acc (Rep) [15.79]	Time [94.23s]
Round [58/200]	Train Loss (CE|Proto) [3.5768|0.0617]	Train Acc (Rep) [16.03]	Time [70.01s]
