Training FedAvg...
Round [1/200]	 Train Loss [4.4913]	 Train Acc [6.13]	 Train Time [28.02]
Round [2/200]	 Train Loss [4.1300]	 Train Acc [6.86]	 Train Time [23.13]
Round [3/200]	 Train Loss [4.0143]	 Train Acc [7.09]	 Train Time [27.44]
Round [4/200]	 Train Loss [3.9466]	 Train Acc [8.66]	 Train Time [24.66]
Round [5/200]	 Train Loss [3.7203]	 Train Acc [12.64]	 Train Time [19.75]
Round [6/200]	 Train Loss [3.5788]	 Train Acc [13.94]	 Train Time [21.47]
Round [7/200]	 Train Loss [3.4431]	 Train Acc [15.71]	 Train Time [20.77]
Round [8/200]	 Train Loss [3.4155]	 Train Acc [16.51]	 Train Time [28.99]
Round [9/200]	 Train Loss [3.3143]	 Train Acc [17.80]	 Train Time [19.67]
Round [10/200]	 Train Loss [3.2732]	 Train Acc [18.58]	 Train Time [24.26]
Round [11/200]	 Train Loss [3.2328]	 Train Acc [19.40]	 Train Time [20.89]
Round [12/200]	 Train Loss [3.1438]	 Train Acc [20.97]	 Train Time [24.02]
Round [13/200]	 Train Loss [3.0700]	 Train Acc [22.17]	 Train Time [22.69]
Round [14/200]	 Train Loss [3.0553]	 Train Acc [22.94]	 Train Time [23.76]
Round [15/200]	 Train Loss [2.9798]	 Train Acc [24.15]	 Train Time [22.05]
Round [16/200]	 Train Loss [2.9701]	 Train Acc [24.67]	 Train Time [20.37]
Round [17/200]	 Train Loss [2.8766]	 Train Acc [26.02]	 Train Time [19.97]
Round [18/200]	 Train Loss [2.7614]	 Train Acc [28.71]	 Train Time [21.91]
Round [19/200]	 Train Loss [2.7355]	 Train Acc [29.61]	 Train Time [18.77]
Round [20/200]	 Train Loss [2.6680]	 Train Acc [30.49]	 Test Loss [3.7608|3.8052]	 Test Acc [13.75(3.75)|19.86(4.27)]	 Train Time [26.22]
Round [21/200]	 Train Loss [2.5909]	 Train Acc [32.57]	 Train Time [17.33]
Round [22/200]	 Train Loss [2.5180]	 Train Acc [34.05]	 Train Time [22.32]
Round [23/200]	 Train Loss [2.4929]	 Train Acc [34.94]	 Train Time [21.14]
Round [24/200]	 Train Loss [2.4545]	 Train Acc [35.83]	 Train Time [24.76]
Round [25/200]	 Train Loss [2.2980]	 Train Acc [39.42]	 Train Time [21.40]
Round [26/200]	 Train Loss [2.2844]	 Train Acc [39.69]	 Train Time [18.42]
Round [27/200]	 Train Loss [2.1903]	 Train Acc [42.14]	 Train Time [26.44]
Round [28/200]	 Train Loss [2.1530]	 Train Acc [43.57]	 Train Time [22.97]
Round [29/200]	 Train Loss [2.0114]	 Train Acc [46.82]	 Train Time [25.71]
Round [30/200]	 Train Loss [1.9268]	 Train Acc [48.79]	 Train Time [21.41]
Round [31/200]	 Train Loss [1.9058]	 Train Acc [49.82]	 Train Time [20.24]
Round [32/200]	 Train Loss [1.9719]	 Train Acc [48.48]	 Train Time [18.94]
Round [33/200]	 Train Loss [1.8222]	 Train Acc [52.21]	 Train Time [23.84]
Round [34/200]	 Train Loss [1.7901]	 Train Acc [53.37]	 Train Time [16.97]
Round [35/200]	 Train Loss [1.7314]	 Train Acc [54.73]	 Train Time [22.02]
Round [36/200]	 Train Loss [1.6364]	 Train Acc [57.13]	 Train Time [19.61]
Round [37/200]	 Train Loss [1.7221]	 Train Acc [55.40]	 Train Time [21.34]
Round [38/200]	 Train Loss [1.6194]	 Train Acc [57.93]	 Train Time [27.91]
Round [39/200]	 Train Loss [1.4994]	 Train Acc [61.05]	 Train Time [18.69]
