Training pFedFDA...
Round [1/200]	 Train Loss [1.5458]	 Train Acc [44.70]	 Train Time [19.32]
Round [2/200]	 Train Loss [1.6039]	 Train Acc [42.83]	 Train Time [14.03]
Round [3/200]	 Train Loss [1.3852]	 Train Acc [48.33]	 Train Time [19.44]
Round [4/200]	 Train Loss [1.0923]	 Train Acc [60.20]	 Train Time [18.18]
Round [5/200]	 Train Loss [1.2086]	 Train Acc [55.84]	 Train Time [20.94]
Round [6/200]	 Train Loss [1.2586]	 Train Acc [52.82]	 Train Time [24.96]
Round [7/200]	 Train Loss [1.1980]	 Train Acc [55.05]	 Train Time [17.81]
Round [8/200]	 Train Loss [1.1617]	 Train Acc [57.22]	 Train Time [18.72]
Round [9/200]	 Train Loss [1.1213]	 Train Acc [57.64]	 Train Time [16.85]
Round [10/200]	 Train Loss [1.1609]	 Train Acc [56.97]	 Train Time [13.53]
Round [11/200]	 Train Loss [1.1476]	 Train Acc [58.55]	 Train Time [13.72]
Round [12/200]	 Train Loss [1.1233]	 Train Acc [58.08]	 Train Time [22.20]
Round [13/200]	 Train Loss [1.0544]	 Train Acc [60.45]	 Train Time [23.14]
Round [14/200]	 Train Loss [1.0048]	 Train Acc [62.95]	 Train Time [20.05]
Round [15/200]	 Train Loss [1.0349]	 Train Acc [62.65]	 Train Time [21.44]
Round [16/200]	 Train Loss [0.9577]	 Train Acc [64.04]	 Train Time [16.79]
Round [17/200]	 Train Loss [0.9716]	 Train Acc [64.50]	 Train Time [16.81]
Round [18/200]	 Train Loss [0.9334]	 Train Acc [65.26]	 Train Time [29.72]
Round [19/200]	 Train Loss [1.0527]	 Train Acc [61.60]	 Train Time [23.41]
KL Divergence: μ=0.4967
Round [20/200]	 Train Loss [0.9091]	 Train Acc [67.15]	 Test Loss [1.0562]	 Test Acc [62.39(10.66)]	 Train Time [24.34]
Round [21/200]	 Train Loss [0.9307]	 Train Acc [66.28]	 Train Time [29.74]
Round [22/200]	 Train Loss [0.8988]	 Train Acc [67.83]	 Train Time [28.56]
Round [23/200]	 Train Loss [0.9103]	 Train Acc [67.31]	 Train Time [25.33]
Round [24/200]	 Train Loss [0.8577]	 Train Acc [68.87]	 Train Time [24.35]
Round [25/200]	 Train Loss [0.8831]	 Train Acc [68.10]	 Train Time [25.52]
Round [26/200]	 Train Loss [0.9296]	 Train Acc [66.44]	 Train Time [24.33]
Round [27/200]	 Train Loss [0.9336]	 Train Acc [65.58]	 Train Time [32.67]
Round [28/200]	 Train Loss [0.9384]	 Train Acc [65.53]	 Train Time [23.86]
Round [29/200]	 Train Loss [0.9111]	 Train Acc [66.62]	 Train Time [23.40]
Round [30/200]	 Train Loss [0.8544]	 Train Acc [68.80]	 Train Time [25.52]
Round [31/200]	 Train Loss [0.8259]	 Train Acc [70.59]	 Train Time [24.37]
Round [32/200]	 Train Loss [0.8568]	 Train Acc [68.72]	 Train Time [21.75]
Round [33/200]	 Train Loss [0.7841]	 Train Acc [71.36]	 Train Time [27.13]
Round [34/200]	 Train Loss [0.8808]	 Train Acc [68.06]	 Train Time [27.92]
Round [35/200]	 Train Loss [0.7858]	 Train Acc [71.58]	 Train Time [33.66]
Round [36/200]	 Train Loss [0.8216]	 Train Acc [70.00]	 Train Time [22.42]
Round [37/200]	 Train Loss [0.8533]	 Train Acc [68.29]	 Train Time [23.79]
Round [38/200]	 Train Loss [0.7865]	 Train Acc [71.11]	 Train Time [24.32]
Round [39/200]	 Train Loss [0.7640]	 Train Acc [72.36]	 Train Time [27.76]
KL Divergence: μ=0.6778
Round [40/200]	 Train Loss [0.7532]	 Train Acc [72.43]	 Test Loss [0.9247]	 Test Acc [67.70(9.23)]	 Train Time [34.75]
Round [41/200]	 Train Loss [0.7345]	 Train Acc [73.70]	 Train Time [27.70]
Round [42/200]	 Train Loss [0.7760]	 Train Acc [71.30]	 Train Time [22.16]
Round [43/200]	 Train Loss [0.7529]	 Train Acc [72.69]	 Train Time [23.06]
Round [44/200]	 Train Loss [0.7783]	 Train Acc [72.23]	 Train Time [19.67]
Round [45/200]	 Train Loss [0.7436]	 Train Acc [73.08]	 Train Time [27.97]
Round [46/200]	 Train Loss [0.7228]	 Train Acc [73.47]	 Train Time [24.34]
Round [47/200]	 Train Loss [0.6870]	 Train Acc [74.89]	 Train Time [20.44]
Round [48/200]	 Train Loss [0.7862]	 Train Acc [70.81]	 Train Time [20.07]
Round [49/200]	 Train Loss [0.7090]	 Train Acc [74.29]	 Train Time [37.64]
Round [50/200]	 Train Loss [0.6994]	 Train Acc [75.31]	 Train Time [20.82]
